,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cbf43162b49f1607997a2,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Very Spacious,"Excellent car, the drive height is of a mid-size SUV. Hardly any feeling of bumps, the engine sounds like a jetliner. The car is very spacious from the inside, with good legroom for both the front and rear.",harry,4.0,"Sep 05, 2022"
1,631cbf45162b49f1607997a3,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Buying Experience: The Car Interior,"Buying experience: The Car interior and finish are excellent and, on the whole, it feels luxury. The dashboard and centre console have a nice in color combination patterned finish to them. List out the pros and cons of your car: Smart Look, Comfort But Space is less Talk about the overall performance of your car: Mileage: Very Good Pickup: Super Co...",narayan singh jaipuria noida,4.5,"Sep 03, 2022"
2,631cbf45162b49f1607997a4,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Great Car,Great experience while driving and looks fabulous in orange and white colour. It gives good mileage and is good for Indian road conditions.,rishabh tiwari,4.5,"Sep 03, 2022"
3,631cbf46162b49f1607997a5,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Performance Oriented Car,It's a beautiful car with the best performance-oriented and fun to drive with a turbo.,karthick,4.0,"Aug 26, 2022"
4,631cbf46162b49f1607997a6,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Unique Design,This car has a very unique design and is one of the reasons I bought it. There was once an issue with the engine but it was resolved very fast by the company. I would give it 5 out of 5 stars and recommend it to everyone.,dev sharma,5.0,"Aug 24, 2022"
5,631cbf46162b49f1607997a7,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Citroen C3 Best Pricing,This car has very aggressive pricing. The price attracted me the most and after taking the test drive I decided to buy this car. Overall experience is very good and the dealership experience is good and after-sales are good too.,sharad jain,5.0,"Aug 22, 2022"
6,631cbf46162b49f1607997a8,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,The Best Car Tata Punch,It has some missing features in this segment. This is one of the best cars I have ever seen. The comfort and power of this car give even we cannot expect that from Tata punch.,preet yadav,5.0,"Aug 21, 2022"
7,631cbf47162b49f1607997a9,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Nice Comfort And Satisfaction,"I took a test drive and it was nice. It's a good average, nice interior, and plenty of seating space in the car with comfort, and nice satisfaction.",user,5.0,"Aug 20, 2022"
8,631cbf47162b49f1607997aa,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,This Is Excellent Car,This is an excellent car and looking a complete SUV car. The mileage is outstanding and I am satisfied with the car.,binod jaiswal,5.0,"Aug 20, 2022"
9,631cbf47162b49f1607997ab,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Best Affordable Car,This is the best car with a sporty engine and affordable car. The mileage and comfort are also good.,prem taneja,5.0,"Aug 19, 2022"
10,631cbf47162b49f1607997ac,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Awesome Car C3,"Awesome car with good looks, mileage, and price. Its interior is also really nice.",user,4.5,"Aug 19, 2022"
11,631cbf48162b49f1607997ad,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Citroen C3 Comfortable Car,"This is a very spacious car with very good seats which are very comfortable as well. My family of 5 easily fits in the car, and there was no compilation from anyone even after a drive of 7 continuous hours.",deepak kumar,3.5,"Aug 16, 2022"
12,631cbf48162b49f1607997ae,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Citroen C3 Lovely Driving Experience,"I am driving this car for some time, and I have not faced any issues till now. I love the driving experience of the car and the on-road presence. The car has great looks which attract every eye.",ramesh paswan,4.5,"Aug 12, 2022"
13,631cbf48162b49f1607997af,Citroen C3 ,4.4/5,Rs.5.71 - 8.06 Lakh,Citroen C3 Complete Package,This car is a complete package all In one. It has multiple features including a 10-inch touchscreen system with Android Auto and Apple CarPlay. All the features and everything makes it a premium car with good looks and great design.,kamal bagda ,4.5,"Aug 08, 2022"
