,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc048162b49f160799881,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Good SUVCar WithGood Mileage,Hyundai Alcazar is a good SUV car with good mileage. The 100kmph speed continues 300 km and mileage in diesel is 19.8kmpl it was good.,harshad chaudhari ,5.0,"Sep 09, 2022"
1,631cc04b162b49f160799882,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Best Performance,Superb car best SUV cat I like it very much super look and best preference car look is awsome best for family and friend and best for the tour.,user,5.0,"Sep 04, 2022"
2,631cc04b162b49f160799883,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Feels Premium,"Feels premium inside compared to other SUVs. The average mileage I am getting is 12kmpl, maximum I got on long Highways was 16.4kmpl. The drive is smooth. No cabin noise. I would recommend everyone to choose white colour or silver. White looks premium on real-world roads.",sarath baabu,4.5,"Sep 02, 2022"
3,631cc04b162b49f160799884,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Best Car In Segment,"Best car in its segment, best comfort, best mileage, nice features in this price range, and its best in safety. Also, it's a strong car by Hyundai, I enjoy every movement in this Hyundai has made a perfect 7-seater SUV for their customer, we get every feature in this car like a fully digital instrument cluster, panoramic sunroof, big touc...",mayur sevkani,5.0,"Sep 01, 2022"
4,631cc04b162b49f160799885,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Car Is Loaded With Features,"The car is loaded with features. But poor in build quality, facing major issues in the quality of the interior, and the city mileage is not more than 9kmpl which is too low.",ram lal,3.5,"Sep 01, 2022"
5,631cc04c162b49f160799886,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Best Car For Family,"Best car for my family and for a long tour beat in class features, a comfortable drive and enough space for a big travelling bag. Low maintenance charge, silent cabin, great visibility, and smooth handling. ",jiyauddin sayyed,5.0,"Aug 30, 2022"
6,631cc04c162b49f160799887,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Hyundai Alcazar Diesel Platinum With Smooth Drive,"I own platinum 7sitter diesel with smooth drive, luxurious space in the front, and middle seats. It drove around 5000 km now. I am satisfied with the performance, and features. Must buy against MG Hector or Kia Carens front headlights is weak to drive in rain otherwise everything is upto the mark like bose sound system, pan...",faizan,5.0,"Aug 23, 2022"
7,631cc04c162b49f160799888,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Better Options Available,"Good only for people who want a compact 7-6 seater crossover or maybe high mileage. It has less space, power, and build quality and personally, it feels uglier than the competition.",david,2.0,"Aug 12, 2022"
8,631cc04c162b49f160799889,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,The Best Car,Best car in this segment I had both 15 cars for my relatives I suggest you should also buy it gives good mileage and have a high torque the safest car I had also done a crash test of this car it is so durable the light are white they don't flicker and give a clear view of the road it has a great road presence.,digvijay mahajan,5.0,"Aug 11, 2022"
9,631cc04d162b49f16079988a,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Super Refined Engine,The engine is super refined and has an excellent mileage car. Its last row is best for kids and pets. It is value for money.,sreejin tj,5.0,"Jun 27, 2022"
10,631cc04d162b49f16079988b,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,The Ultimate SUV Alcazar,The car has provide ultra legendry relaxable facilities. Its facelift makes it attractive and its design makes it a muscular and power full looking car. The seats of Alcazar are very well maintained which makes us feel better than other cars. The price of this car is also a good by viewing other SUVs,shubham arnalkar,5.0,"Jun 27, 2022"
11,631cc04d162b49f16079988c,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Good Car,"Good SUV. Its comfort level is great and good for long drives. It has amazing features and mileage is also good. It is a great vehicle at this price range. Overall, this is a good vehicle.",jacob thomas,4.5,"Jun 12, 2022"
12,631cc04d162b49f16079988d,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Hyundai Alcazar Just Fantastic Car,"The Car is just fantastic and it's totally beast. It has got all the features you have dreamt of. The mileage is okay, but performance with those 7 seats is totally Insane. Its comfort is awesome.",arjun sajulal pillai,4.5,"Jun 12, 2022"
13,631cc04e162b49f16079988e,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Fantastic Car,Awesome feel really looks like a real XUV in this price range and Hyundai steering and clutch are very smooth. The interior is awesome and the display looks cool. The main thing is middle and back seats are both foldable which is a very attractive thing in this linear SUV.,er ahraj shan,5.0,"Jun 03, 2022"
14,631cc04e162b49f16079988f,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Value For Money Car,"I have good experience with this car, comfortable, safe, and value for money car. The performance of the car is also great. ",ajay,4.5,"May 27, 2022"
15,631cc04e162b49f160799890,Hyundai Alcazar ,4.1/5,Rs.15.89 - 20.25 Lakh,Good Car With Amazing Features,Good features. Best interior quality I like this SUV Alcazar. Awesome experience. Mountain ride car.,rohit nagpal,5.0,"May 24, 2022"
