,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cbf7a162b49f1607997d2,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Great Car In This Segment,"This is a great car in this segment, and it is good for family purposes. It has a very nice interior and the performance is also good.",shadab shaikh,4.5,"Sep 09, 2022"
1,631cbf7c162b49f1607997d3,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Awesome Car,"Hyundai Creta is an awesome car, its overall performance is the best & mileage is also very good. It is the Best car in the SUV segment.",ankit jain,4.5,"Sep 09, 2022"
2,631cbf7c162b49f1607997d4,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Best SUV,"Creta is the best car in SUV Segment. There is a bluelink with voice commands that using for calling, opening the sunroof, turning off and on ac, etc. It has the best comfortable seats. Its engine has one push button to start smoothly and takes over up to 220 km/h. It connects with Android Auto and CarPlay quickly. It has cool air ventilated seats.",shridhar pandurang powar,5.0,"Sep 09, 2022"
3,631cbf7c162b49f1607997d5,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Good Car But Cluch Plate Is Not Good,"This is a good car with nice functions, bluelink, but sometimes not working. It is a comfortable car for long journeys and could have wireless auto car play. The Mattel used not so good, and cluch plate is also not good.",mukesh,4.0,"Sep 05, 2022"
4,631cbf7d162b49f1607997d6,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Good Car,"This is a very nice car, it's comfortable while driving and it has good safety features. It gives good mileage in the city and highways also.",shubham,5.0,"Sep 05, 2022"
5,631cbf7d162b49f1607997d7,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Comfortable Car For Drive,"It is very comfortable and smooth to drive a car. Its pickup and road grip is excellent, and the exterior looks so nice.",kudursiraj,4.0,"Sep 03, 2022"
6,631cbf7d162b49f1607997d8,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Has Ventilated Seat,"A normal car has ventilated seat. It's a better performance car, but does not have rear ac vents and mileage is good for this car. The speed is also better, and I like this Hyundai Creta.",amar singh ,3.5,"Sep 03, 2022"
7,631cbf7d162b49f1607997d9,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Just Go For It,Great for long drives. The mileage is too good. Good looking car and a more spacious car. Just go for it. ,suraj  chavan,5.0,"Sep 01, 2022"
8,631cbf7e162b49f1607997da,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Creta - A Complete Car,"The comfort that Creta has provided me, especially on long journeys is commendable. Also, it is a very fuel-efficient car with diesel. Styling and sharpness is the key to its success. ",abhinav kataria,4.5,"Sep 01, 2022"
9,631cbf7e162b49f1607997db,Hyundai Creta ,4.2/5,Rs.10.44 - 18.18 Lakh,Hyundai Creta Review,"Hyundai Creta is the best SUV car for a long drive. This car gives the best performance, performance is so good, and luxurious feeling in the vehicle. I love Creta buying experience is so good and but it's expensive.",ramesh,4.5,"Sep 01, 2022"
