,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cbffd162b49f160799835,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Value For Money,"Value for money. Hyundai never disappoints its customers. Got Magna, model, it's loaded with some features as compared to other brand cars of same segment or price. The body is solid. Had tested it on the first day.",aditya kumar,4.5,"Sep 08, 2022"
1,631cbfff162b49f160799836,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Nice Car,"Nice car, smooth driving car. Mileage is also comfortable. Space is enough in this car. The look is mindblowing. ",vinayak,4.5,"Sep 07, 2022"
2,631cbfff162b49f160799837,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Excellent Car,"Excellent car in all aspects. Mileage, road presence, safety, comfort. Own this car and have a great experience of driving. Purchased i20 Asta(o) In the last April. Done 17000 km. Spacious hatchback in the segment with excellent boot space and good ground clearance. The Interior looks pretty in this top segment. ",varun hooda ,5.0,"Sep 07, 2022"
3,631cc000162b49f160799838,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Car Is Very Good At Styling,"The car is very good at styling and building, but the only compromise is that when you drive in hills, gives 9-10kmpl hardly and needs so often gear shifting. The driving range gets upto 350-380 km with a full tank.",harish kumar,4.0,"Sep 03, 2022"
4,631cc000162b49f160799839,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Much-Recommended Car,"The Hyundai i20 is a much-recommended car. This car offers a lot of features. This car provides great performance both in city and highways. Also, the comfort this car offers is much better than many big SUVs. The downforce this car offers helps in smooth turning over hills and helps in cruising over highways. At this price range, this car is much ...",saksham gupta,5.0,"Sep 02, 2022"
5,631cc000162b49f16079983a,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,I20 TURBO IMT REVIEW,"Hello, I own iMT sports Turbo. What Likes: Driving: It has sufficient power to excite you. Looks: Simply the best looking one in its segment. Inside space and features: I really find this car more than adequate for the space and features it provides. What I don't like: Mileage: I drive maximum in the city where the traffic is mostly heavier an...",mayank ,3.5,"Sep 01, 2022"
6,631cc000162b49f16079983b,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Good Hatchback For A Family For A Long Drive,"I bought i20 in Jan 2022. I'm very happy with the comfort and driving stability of the car it's a good hatchback for a family for a long drive. Engine refinement: 5/5, Infotainment and steering: 5/5, Performance: 4/5, Mileage: 4/5, City mileage: 13-15kmpl, Highway: 18-20kmpl, and Gear Shifting -5/5. I recommend buying this car because of its s...",gowtham,4.5,"Aug 31, 2022"
7,631cc001162b49f16079983c,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Hyundai I20 Very Comfortable Car,"Very comfortable car and comes with a sporty look. It's easy to handle, convenient and value for money in this segment, completely satisfied with it.",sumit,5.0,"Aug 28, 2022"
8,631cc001162b49f16079983d,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,A Class Leading Car,"Undoubtedly the best car in its segment, it's not a premium hatchback but a luxury hatchback indeed. None of its rivals compares to the i20 in terms of features, drivability and engine refinement. And the various gearbox options truly set it apart. The exterior looks awesome and has an excellent road presence. The interiors look super-premium for i...",kumarjit das,4.5,"Aug 18, 2022"
9,631cc001162b49f16079983e,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Value For Money,"The car has low mileage and is under power, because of the 1.2-litre petrol engine, and heavy-weights of the car. It's premium, comfortable, and has good features car. The mid variant Sportz petrol is very convenient and value for money.",kapil singh,4.5,"Aug 16, 2022"
10,631cc001162b49f16079983f,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Good Exeperience With Hyundai I20,"Good experience with Hyundai I20. Its great mileage, comfort, and style car with good looks and a sunroof.",ajay banyal,5.0,"Aug 12, 2022"
11,631cc002162b49f160799840,Hyundai i20 ,3.9/5,Rs.7.03 - 11.54 Lakh,Fully Profitable At Low Prices,"Safety should not just be treated as just some other feature but should be a paramount feature one must seek while buying a new car. Indians have recently started taking safety seriously, although the number is still low as compared to the population of India. Carmakers across the country are bound to keep the prices low and yet provide features in...",subham panda,4.5,"Aug 07, 2022"
