,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc094162b49f1607998cd,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,HYUNDAI KONA REVIEW,"GOOD CAR WITH NICE SAFETY FEATURES, EXCELLENT PERFORMANCE, AND ALSO WITH GREAT ABILITY OF MILEAGE. TILL NOW IN THE ELECTRIC VEHICLE SEGMENT FROM MY EXPERIENCE THIS HYUNDAI KONA IS A GREAT VEHICLE AND VERY EXCITING THING IS THAT IT IS BUDGET-FRIENDLY. ",darshil ardeshana,4.5,"Aug 17, 2022"
1,631cc097162b49f1607998ce,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Expensive Car,"This car is expensive and needs to increase seating capacity, wide sunroof, and less price.",prince,3.5,"Aug 16, 2022"
2,631cc097162b49f1607998cf,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,GoodExperience,"Apart from all the online reviews my personal overall experience of Hyundai Kona was literally very amazing, from interior to exterior, from exploring to driving. Everything is perfect in this car and it provides amazing features at a very competitive price in the market right now. ",vikhyat rana,4.5,"May 08, 2022"
3,631cc097162b49f1607998d0,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Very Comfortable,"Hyundai Kona electric car is very comfortable and secure but the electric range is very low, this car very expensive for a middle-class family. ",anuj yadav,4.0,"May 05, 2022"
4,631cc097162b49f1607998d1,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,The Best EV Available In India,"Using it for the last 1 month. It's a gentle-looking beast. The pickup power is amazing. I tried 2 competitions cars in this segment. This is the best. Refined and well built, and superior performance. The Audio system is better than a premium car segment. The Bluetooth connectivity to stream all music from a phone, music a...",sibi k thomas,5.0,"Aug 26, 2021"
5,631cc098162b49f1607998d2,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Shameful Behaviour From Hyundai,"In the beginning, the car performed excellently well, but after 4 months the mileage on a full charge steadily reduced, and finally, it would not start at all. After paying a hefty amount for this car l am left without a vehicle and the Hyundai service people assured me that would send a replacement vehicle which they kept postponing with lame excu...",ashish chinoy,1.0,"Mar 04, 2021"
6,631cc098162b49f1607998d3,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Battery Life And Its Deterioration And Replacement,"Battery life and its deterioration with time need to know, also the cost of battery replacement and any battery assessment tool of equipment. ",prashant,3.0,"Jan 21, 2021"
7,631cc098162b49f1607998d4,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Best car,"Well, an electric car this is the tesla of India you can't go wrong with 400 hundred km charging no need for fuel just go on plug the car and at morning you have a full tank of gas.",jatinder,4.5,"Mar 20, 2020"
8,631cc098162b49f1607998d5,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Awesome technology.,This car would be the best selling car in India because of technology and design.,ashok kaushik,5.0,"Mar 02, 2020"
9,631cc099162b49f1607998d6,Hyundai Kona ,4.3/5,Rs.23.84 - 24.03 Lakh,Aesthetic car.,This is a very useful vehicle and non-polluting. The Hyundai Kona is a very modern car and stylish too.,priyank pambhar,5.0,"Dec 08, 2019"
