,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc0d3162b49f160799919,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Good Performance,Very good performance and is easy to handle with an affordable maintenance cost of the Santro Cng variant. The low price of Santro CNG I can buy it from 6 months ago and I am fully satisfied with CNG vehicle it's very comfortable on long route journeys.,money singh,5.0,"Sep 03, 2022"
1,631cc0d6162b49f16079991a,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Santro Sports Is A Good Car,I have Santro Sports and I am enjoying riding this car. It is very comfortable and a good car for me.,sumon,5.0,"Aug 16, 2022"
2,631cc0d6162b49f16079991b,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Hyundai Car Is Good Car,"I own a Santro car top model. It's very smooth, with no vibration, comfortable and is good to drive. It is a good car for a small family.",mnc computers,4.5,"Jun 15, 2022"
3,631cc0d6162b49f16079991c,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Best Hatchback,"This hatchback we are using for nine years it never disappointed us. We have also done long journeys with it. It is so comfortable, with nice mileage on the highway. Smooth handling and good music system. I say best 1100cc engine.",mohd kashif,4.0,"Jun 08, 2022"
4,631cc0d6162b49f16079991d,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Good For The Family Purpose,This is a good car in terms of safety and comfort. It is good for long drives and performance is top of the segment. It has a great look and is good for the family.,sandeep deshmukh,5.0,"Jun 06, 2022"
5,631cc0d7162b49f16079991e,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Nice Car,Both manual and AMT versions are promising. Especially AMT version provides a better driving experience and comfort with lavish interior design.,dhanush vasudevaraju,4.5,"Jun 01, 2022"
6,631cc0d7162b49f16079991f,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Nice Hatchback Car,"Santro is the best in its segment, although it's an entry-level Hyundai but gives its perfection like a luxury one. The interiors and exteriors are beyond hope. Comfort is like a premium hatchback car and the important thing is that its price range is suitable for the Middle class.",shardool gupta,4.5,"May 23, 2022"
7,631cc0d7162b49f160799920,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Good Car,I am using Santro 2018 model. Its comfort is less because of body weight. The features are better and safety is good enough for this price range. The mileage is better on the highways. I have got 21kmpl on the highways.,amal narayanan,3.5,"May 23, 2022"
8,631cc0d8162b49f160799921,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Low Maintenance Car,It is a very good car for everyone in terms of its durability and comfort. It is a low maintenance car. The power and performance are amazing but it lacks a bit in mileage. ,rakesh sharma,4.5,"May 15, 2022"
9,631cc0d8162b49f160799922,Hyundai Santro ,4.4/5,Rs.4.90 - 6.42 Lakh,Amazing Car,All the features are worthy to explain as it seems the best family car in India. Value for money car. The comfort and style are amazing. It has great mileage.,zeeshan rasheed,5.0,"May 14, 2022"
