,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cbfc5162b49f16079981e,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Good Car In This Segment,"This is a good car in this segment and it gives a great drive quality. It has great features and a powerful engine which is good for long drives. Mileage is around 12 to 15kmpl. Overall, this is a good car. 
 
",pradeep choudhary,5.0,"Sep 06, 2022"
1,631cbfc7162b49f16079981f,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Good And Classy Car,"It's a good car with classy, comfortable, and very good for a family. It was not expensive and is a very stylish engine also.",sanchit rout,4.5,"Sep 01, 2022"
2,631cbfc7162b49f160799820,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Fine Driving Experience,"The car is really futuristic, everything about this car is premium from the front grill to the connected backlights this Urban Suv has a lot to offer. This Korean SUV can take head-on with any german SUV within the range of 55-60 lakhs. 10/10 go for this.",gaurav yaduvanshi yadav,4.5,"Aug 29, 2022"
3,631cbfc8162b49f160799821,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Best In Class,Best in class with premium interior and styling. It's a new look with a different DRL setup. Best safety features.,anonymous,4.5,"Aug 28, 2022"
4,631cbfc8162b49f160799822,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Styling And Aerodynamics Of The Body is Good,The detailed styling and aerodynamics of the body are too good. The performance is refined and the engine trim is what I liked the most.,user,4.5,"Aug 06, 2022"
5,631cbfc8162b49f160799823,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,It's A Good SUV,"It's a good SUV with all features, nice performance, and a sporty look. This is the best family car.",pratham ,4.0,"Jul 19, 2022"
6,631cbfc8162b49f160799824,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Nice Car,"The car looks cool. Mileage is also good, safety and interior at their best. This is the most exciting car for me.",lakshya sharma,4.5,"May 29, 2022"
7,631cbfc9162b49f160799825,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Aggressive Looking Car,It looks very aggressive from the outside & also it completely feels like a long touring car. It has also very good features inside it. The only bad thing is its milage.,basavaraj bagewadi,3.5,"May 13, 2022"
8,631cbfc9162b49f160799826,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Best Car,"While I'm looking for a car the most important three thing's are how the car looks, power under the hoods and safety. After all these years especially in India things are getting better and better. The best one in this fantastic year 2022 is the New Hyundai Tucson which is loaded with tons of features and safety. As its a Hyundai it shows its power...",amjith,5.0,"May 06, 2022"
9,631cbfc9162b49f160799827,Hyundai Tucson ,4.6/5,Rs.27.70 - 34.54 Lakh,Quality Build Beautiful,"The speechless, incredible, ultimate build quality of Hyundai cars. The interior and exterior were also good. it's a really good experience after comparing with other brands",varun sen,5.0,"Jun 09, 2021"
