,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc01f162b49f16079985b,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Very Comfortable,"Very comfortable, best sedan, nice mileage, nice performance, great interior design looks, safety features, etc.",abhishek vishwakarma,4.5,"Sep 09, 2022"
1,631cc022162b49f16079985c,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Great Car,"Yes, if you're looking for a Sedan at a low cost you can go on with this car but you'll realize that if you're doing rash driving you won't get that much mileage. If you drive carefully at a low speed, you could get better mileage although this car impressed me in 2018, the grill was too good. This 2022 model is also good lookin...",jweeldebbarma,4.5,"Sep 05, 2022"
2,631cc022162b49f16079985d,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Attractive Car,Overall an attractive car with an attractive road presence. Maintenance might be an issue but it's worth maintaining this car because of its demand and road presence. In terms of safety and engine response.,manish baddam,4.5,"Sep 05, 2022"
3,631cc022162b49f16079985e,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Verna Best Affordable Sedan,Verna is one of the best affordable sedans but in process of making it affordable Hyundai cheaps out on not covering the lower floor properly and its insulation. The gearbox and brakes rattling noise if used while on a bumpy road which in turn also causes the wireless apple car play to disconnect. Other than this superb car.,akash yadav,3.5,"Sep 03, 2022"
4,631cc023162b49f16079985f,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Overall Best Car In This Segment,"The best car ever I drove. The luxury feel is awesome and comfortable. Good speed and road grip. Mileage is okay, but not great as it has great features so always not looking for mileage. Overall the best car in this segment.",santhosh,4.5,"Aug 28, 2022"
5,631cc023162b49f160799860,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Feel Luxurious While Travelling,It is looking nice and is a luxurious feel while travelling. This is too much short a price.,rohit dadwal,3.0,"Aug 13, 2022"
6,631cc023162b49f160799861,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Awesome Mileage,Awesome mileage with a comfortable seat and good design. The engine has the top best quality at affordable prices.,user,5.0,"Aug 06, 2022"
7,631cc023162b49f160799862,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Overall Power Packed Car,Overall it's a power-packed car with a lot of comforts. A good amount of stability is provided to the owner while driving.,harsh preet,4.5,"Jul 31, 2022"
8,631cc024162b49f160799863,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Best Sedan,My opinion for this car is very good driving experience is better than City and Ciaz in this range this is the best unit of sedan cars performance is best mileage is also good.,lucifer star,4.5,"Jul 28, 2022"
9,631cc024162b49f160799864,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Great Car,This is a great car with great style and full comfort. The interior looks great. The car gives such a luxury feel which is only felt in luxury cars. ,prakhar sharma,4.5,"Jul 27, 2022"
10,631cc024162b49f160799865,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Safety And Permofance Are Excellent,This car's performance is excellent with good safety and looks. Its interior and exterior are also good.,user,5.0,"Jul 11, 2022"
11,631cc024162b49f160799866,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Family Car,"The car features are very good, Finest Car body modification looks good, engine quality also good, mileage is good. It is a family car. ",sumantha,5.0,"Jul 06, 2022"
12,631cc025162b49f160799867,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Verna A Powerful Engine Car,"It has a powerful engine and a comfortable suspension. The mileage of the Hyundai Verna diesel is good, and it is the best for city driving and highway also.",kumar vinayak,4.5,"Jun 27, 2022"
13,631cc025162b49f160799868,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Verna is Great Car,"The Verna is a great car in terms of mileage, comfort, and speeds on highways. Overall it's a good premium segment car with good performance.",anonymous,4.0,"Jun 26, 2022"
14,631cc025162b49f160799869,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Looks And Comfort Is Good,"The sitting comfort is good. I can drive Verna very easily, and maintenance cost is in my range. Its dashboard and digital speedometer look very good. Overall experience is very good.",avani kant,5.0,"Jun 23, 2022"
15,631cc025162b49f16079986a,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Amazing Experience,"I bought Hyundai Verna facelift automatic and it's the best car in my price segment no other company can offer this kind of facility in this range. Also, the vehicle is smooth and the best to ride. The overall look of the exterior and interior is unmatchable. Safety-wise, it's the best company ever since I bought my car they offer end number o...",user,4.5,"Jun 22, 2022"
16,631cc026162b49f16079986b,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Verna Is A Great Car,"The Verna is a great car in terms of its mileage, design, and comfort at this price range. Overall it's a good package of power and performance.",malay,4.5,"Jun 16, 2022"
17,631cc026162b49f16079986c,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Verna Sx 1.5 Diesel Best In The Segment,"I have Verna 1.5 diesel SX best in the segment. It's a rocket pickup, looks like a beast and chilled ac. overall great experience but it should be more spacious in the rear seats",himanshu,4.5,"Jun 16, 2022"
18,631cc026162b49f16079986d,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Comfortable Car,Good-looking and more featured luxury cars fit all types of customers. Mileage is so good and the good thing is that this Verna is with an open sunroof and nice design.,kapil pandit,5.0,"Jun 15, 2022"
19,631cc026162b49f16079986e,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Best In The Segment,"Its amazing features, stylish and sporty look car. It's worth buying and an enjoyable drive. One of the best in the segment.",arshil,5.0,"Jun 13, 2022"
20,631cc027162b49f16079986f,Hyundai Verna ,4.5/5,Rs.9.41 - 15.45 Lakh,Stylish Car With Good Mileage,Verna is the most stylist and premium-looking sedan in this range. It will give good mileage.,your wish,3.5,"Jun 13, 2022"
