,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc5e2162b49f160799cd3,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Best Car,"Best car in this segment and is good for the family. It comes with great features and is good for city dives and highways also.  
",nandu sutar,5.0,"Sep 10, 2022"
1,631cc5e5162b49f160799cd4,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Kia Carens Excellent Car,I have never seen the features like Kia Carena. If you want comfort then you must choose this excellent car and enjoy life while driving it on road.,aniket jagatap,5.0,"Sep 04, 2022"
2,631cc5e5162b49f160799cd5,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Kia Carens Is Nice To Drive,I took a test drive of Kia Carens. It is nice to drive on Indian roads with a comfortable 6-seater. Kia cars are having lots of special features in mid-models also.,abdul basith,4.0,"Sep 03, 2022"
3,631cc5e5162b49f160799cd6,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Kia Carens Best Design Car With Amazing Performance,"The best design car with amazing performance. The superior interiors, sitting comfort and the best in budget.",gevin pinto,4.5,"Aug 28, 2022"
4,631cc5e5162b49f160799cd7,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Best Performance And Comfort,"Best performance and comfort with moderate fuel consumption on Indian roads. Very reliable, having safety and security measures like 6 airbags.",msudhakar reddy,4.5,"Aug 27, 2022"
5,631cc5e6162b49f160799cd8,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Carens Is A Superb Car,Carens is a superb car. Its looks and features are unmatchable at this price point. I own a prestige model and the average is around 12kmpl in city drive. It's all the rows are very specious.,sachin deshpande deshpande,4.5,"Aug 27, 2022"
6,631cc5e6162b49f160799cd9,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Best Mileage SUV,This car gives the best mileage in the segment. I love how this car is big in size and still manages to give such good mileage. The AC is very powerful and able to cool the entire cabin quickly.,dev sharma,5.0,"Aug 24, 2022"
7,631cc5e6162b49f160799cda,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Very Good Car,"Very good car, I like its music system and speakers. All things comfortable, and very well seats. The exterior of the car is very good, and the build quality is also good. It's good for travelling.",nitin gupta,4.5,"Aug 20, 2022"
8,631cc5e6162b49f160799cdb,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Wonderful Car For Indian Roads,"Wonderful car for Indian roads and looks is not that good, but smooth in performance. The best car for daily use and highly appreciated.",raghu kumar t,4.5,"Aug 14, 2022"
9,631cc5e7162b49f160799cdc,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Great While Driving,"Kia Carens feel really great while driving, plenty of leg space is there, and the seating position is perfect while driving is good. Pickup and acceleration are top-notch, I can hit the break with full confidence, and soundproofing is also good what else can I say this is the complete package. ",francis raj,4.5,"Aug 12, 2022"
10,631cc5e7162b49f160799cdd,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Leather Seats Are Of Good Quality., Good build-up quality with all seat airbags safety. The front view can be more aggressive. The cut wheels look good. Leather seats are of good quality.,anupam kanaujia,4.5,"Aug 11, 2022"
11,631cc5e7162b49f160799cde,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,This Is Best Family Car,"This is the Best Family car. Congratulation to Kiya for making this best car. The look is good, price is good. I love this car. ",shelar m s,5.0,"Aug 01, 2022"
12,631cc5e7162b49f160799cdf,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Bad Driving Experience With Kia Carens,Bad driving experience with Kia Caren's petrol and pickup is not that good in 2nd gear.,user,1.5,"Jul 30, 2022"
13,631cc5e8162b49f160799ce0,Kia Carens ,4.5/5,Rs.9.60 - 17.70 Lakh,Mileage On Diesel Automatic Not Good,"The car is good for comfortable ride and safety, and visibility compared with Innova, but I am getting only 13kmpl mileage on my Kia Carens diesel automatic which is not good.",ranganath niranjan,3.5,"Jul 29, 2022"
