,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc621162b49f160799d11,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Family-Friendly Car,The Kia Carnival is a family-friendly car that is very comfortable and affordable at an affordable price. Its interior beauty makes it feel like Vellfire. Its mileage is also pocket friendly. This is a better option for a family with more members. There is more boot space than others in this price range of around 500 liters. Its only drawback is th...,sudhanshu tripathi,4.5,"Sep 08, 2022"
1,631cc623162b49f160799d12,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Great Performance Car,"I purchased it 2 months before, and I am so happy to see such a great look and performance of the car in all aspects interior, and exterior was truly awesome.",anup goyal,5.0,"Aug 09, 2022"
2,631cc623162b49f160799d13,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Engine And Performance Is Very Good,It is a very smooth and refined engine performance and their sound system is very aggressive and their ac is very chilled and the third-row ac is quite decent. I feel very good about this car and the length and width of the car are very big.,jatin kamat,5.0,"May 21, 2022"
3,631cc624162b49f160799d14,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Best Family Car,One of the best family cars with very comfortable and roomy. The attractive interior of MPVs. You can't ignore its ride on road.,parmeshwar,4.5,"May 14, 2022"
4,631cc624162b49f160799d15,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Beautiful Car,Kia Carnival is a great car in terms of the build quality and features but it is a bit high in price.  The looks of the vehicle are simply amazing.,tushar somkuwar,4.5,"May 11, 2022"
5,631cc624162b49f160799d16,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,The Car Style Is Awesome.,"The car style is awesome, and the mileage is also good. The comfort level is too good. Overall this is an excellent car.",biswajit kar,4.5,"Apr 21, 2022"
6,631cc624162b49f160799d17,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Best Car In This Segment,"This is the best car for a joint family. It looks good, comfortable, and a little bit costly according to the Indian market, but it's awesome.",movies hubb,4.5,"Apr 16, 2022"
7,631cc625162b49f160799d18,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Absolutely Lovely,Absolutely lovely our Carnival. The space and comfort of it are unbeatable. No issues at all with it. Drives smooth. Looks great. Super comfortable to drive and to ride in.,dawn griffith,4.5,"Jan 14, 2022"
8,631cc625162b49f160799d19,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Amazing Car,"What a fantastic car it is. Spacious, feature-loaded, practical and fast. Even my father who loves driving our Kia Sonet says that it is just the same car to drive, because of its light steering, and not like the Innova's steering which weighs a ton",ishaan nayak,4.5,"Nov 29, 2021"
9,631cc625162b49f160799d1a,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Best,"It is a very good car, I Love It. This car has so many features and is very comfortable. ",wasim kohli,4.5,"Nov 21, 2021"
10,631cc625162b49f160799d1b,Kia Carnival ,4.4/5,Rs.30.99 - 35.49 Lakh,Excellent Car,"Nice car. It is very comfortable. And the features are very much awesome, fabulous, just loved the car.",sp mohapatra,5.0,"Nov 20, 2021"
