,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc41a162b49f160799b96,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Mahindra Alturas G4 Is The Most Comfortable Car,"Mahindra Alturas G4 is the most comfortable and safest car. Its features, interior, and mileage are very good. Overall very good car.",sampat bishnoi ,4.5,"Sep 06, 2022"
1,631cc41c162b49f160799b97,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Overall Best Performance Car,Overall performance is great and features at this price point. The best safest car in this segment.,smruti dash,4.5,"Aug 26, 2022"
2,631cc41c162b49f160799b98,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Value For Money,"This is the most comfortable car and looks attractive. The exterior is great and the price is also very reasonable according to the features. It has good mileage, this is a value for money. 
",rajat dhir,5.0,"Aug 02, 2022"
3,631cc41c162b49f160799b99,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Fall In Love With Alturas G4,"Fabulous car. Better than MG Gloster and Ford endeavours. And on par with Fortuner in terms of safety and comfort. Simply, I am falling in love with Alturas G4.",vijay kumar,4.5,"Jan 23, 2022"
4,631cc41d162b49f160799b9a,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,This Car Is So Good,This car is so good and great. It is a stylish car and the car is like BMW and Benz. ,nishchal ku,5.0,"Aug 23, 2021"
5,631cc41d162b49f160799b9b,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Real SUV With Comfort Of A Sedan,"Luxury on wheels, silent engine, high performance, premium interiors, huge size, elegant looks, sunroof, etc.",harry gill,4.5,"Jul 21, 2021"
6,631cc41d162b49f160799b9c,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,NOT A TRASH!!,This car is a beast. No one can beat it. Mahindra Alturas G4 is not trash.         ,landster gaming,5.0,"Apr 15, 2021"
7,631cc41d162b49f160799b9d,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Car Experience,Very good Car in Saftey. Very good car in looking. Very good car in features. Very Nice car in all.,sujal rao,5.0,"Feb 05, 2021"
8,631cc41e162b49f160799b9e,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Nice And Best Car,Best car in this segment. Don't discontinue it. Launch a new facelift version.,ayush kumar,5.0,"Jan 09, 2021"
9,631cc41e162b49f160799b9f,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Best And Awesome,It goes beyond expectation and it seems the company made for the competition in the luxury car segment in cheap.,manish pawar,4.0,"Dec 29, 2020"
10,631cc41e162b49f160799ba0,Mahindra Alturas G4 ,4.9/5,Rs.31.88 Lakh,Unfortunate Suv Between Fortunate Brand.,"I heard that in the coming days there would be a problem with the servicing of Mahindra Alturas, as Mahindra is not importing any more spare parts as there has been a split between Mahindra and Korean company Ssangyong recently. If a company intends to discontinue its flagship SUV than it wud be stupidity for the company to assemble the remaining 5...",bhaichung lachenpa,5.0,"Dec 28, 2020"
