,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc566162b49f160799c5c,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Good Car For Middle Class Family,"A good car for an upper-middle-class family. Its look, features, and safety are also good.",rohit kumar,4.5,"Jul 30, 2022"
1,631cc568162b49f160799c5d,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Best Car In The Budget,"This is a great car under the budget and it's comfortable for long drives. It has good mileage, the suspension is also good and it won't make you feel exhausted. One of the best things about this car is cruise control.  
",mnmnmmn,4.5,"Jul 29, 2022"
2,631cc568162b49f160799c5e,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Best Performance Car,"The rear-wheel drive is the best option for heavy-duty cars. The best drive filling, off-roading, and best performance. The seats are also very comfortable.",nandan bankar,4.5,"Jul 23, 2022"
3,631cc568162b49f160799c5f,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Fantastic Car,"I was looking for a pre-owned vehicle on the lot. I was looking for a car with mileage and had my type of interest in vehicles. I was placed in the perfect car. It looked brand new being a used car and their customer service rep handled me very well. He was very knowledgeable about the vehicles there, kind and knew just what I wanted based on my in...",vishnukant pathak ,4.5,"Jun 25, 2022"
4,631cc569162b49f160799c60,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Good Car In Low Price,This car is very good. It provides the comfort of an ultra-premium car at a comparatively low price.,aadish bajaj,4.5,"Jun 18, 2022"
5,631cc569162b49f160799c61,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Strong Car,Mahindra Bolero is a very comfortable and heavy body type vehicle with smooth driving and is best off-road. Mahindra Neo has a very stylish look.,deepak kumar,4.5,"Jun 15, 2022"
6,631cc569162b49f160799c62,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Nice Vehicle,Very well described. Very spacious and gives an SUV feeling and a comfortable ride. Comes with a good pack of features.,chirag,4.0,"Jun 10, 2022"
7,631cc569162b49f160799c63,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Best Car In Segment,"I would say this is the best car in this segment because its looks are as same as the old TUV300 and its mileage may be a little bit less but its performance is more than good from the previous, plus safety too. I would recommend this car for family and off-roading.",aniruddha das,4.5,"May 26, 2022"
8,631cc56a162b49f160799c64,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Good SUV,"I bought Bolero Neo N10 just 3months back. I am very much satisfied with this vehicle in terms of look, comfortable, performance, mileage and finally price. I am enjoying the drive with a real SUV feeling. A few of my friends who own other bigger (expensive) SUVs also felt that this is one of the real SUVs. In fact, this is my first car, but still,...",satyag,4.5,"May 25, 2022"
9,631cc56a162b49f160799c65,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Good In Class.,"Features are good, the best performance in this segment, pickup is also good, low maintenance cost, mileage is pretty good. Overall, good in class.",karthikeyan,4.5,"May 17, 2022"
10,631cc56a162b49f160799c66,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Nice Car And Good Sefety,It is a nice SUV car. The Mahindra Bolero Neo is good in safety and has good mileage.,suraj ghodake,4.5,"Apr 28, 2022"
11,631cc56a162b49f160799c67,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,"Comfort, Mileage And Safety Are Okay","The comfort, mileage, and safety are okay. Just waiting for the facelift to launch. Hoping that there will be an improvement in styling and seating arrangements. ",balu tumpala,4.0,"Apr 22, 2022"
12,631cc56b162b49f160799c68,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Superb Car,The new-look Bolero was superb with great features at this price. If the sunroof is equipped with this car then it looks better and all features are good. Its performance is also good.,asharam gurjar,5.0,"Apr 14, 2022"
13,631cc56b162b49f160799c69,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,VALUE FOR MONEY CAR,"I have an N10 and I have driven it for 7000 km. It's a wonderful car, don't stop yourself from purchasing it. Powerful, comfortable, good visibility, rear-wheel drive, clear sound quality, and driving confidence. I don't like 1:- No proper space for mobile. 2:- No Ac for back seat passenger. 3:- No navigation in the system as TUV 300. Value for mon...",balkrishna thombre,4.5,"Feb 23, 2022"
14,631cc56b162b49f160799c6a,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,My Dream Car,"I like so much Mahindra Bolero Neo, this is a strong car with amazing design and a beautiful model. Go for it. ",satyam kumar ,5.0,"Feb 20, 2022"
15,631cc56b162b49f160799c6b,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Good Vehicle,"Good Vehicle comfort is good but if you're paying 12lakhs and you're getting 7 seaters SUV that is good under budget, 3rd row is also spacious so don't think that 3rd row is not a useful and overall good performance.",vinay pathak,5.0,"Jan 18, 2022"
16,631cc56c162b49f160799c6c,Mahindra Bolero Neo ,4.4/5,Rs.9.29 - 11.78 Lakh,Beauty & Beast,"Excellent vehicle. Definitely, a vehicle with power compared to other fancy cars. True SUV within a budget. People who like power and vehicle to be rough and tough can opt for it. ",yashwin naik,4.5,"Jan 09, 2022"
