,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc4f7162b49f160799c1b,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Excellent Vehicle,"Excellent vehicle, performance is very good, off-road quality, durable, nice looking, and excellent for rural areas. ",lalnunpuia hlawncheu,5.0,"Jul 02, 2022"
1,631cc4f9162b49f160799c1c,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Good Cabin Space,"I'm using Mahindra Bolero Pik-Up to deliver courier shipments to the nearest town 50 km every day. I liked the cabin quality of the vehicle as the quality of the material is good. Also, all the necessary features getting in this car. As the brand has provided very good cabin space so, it is easy to drive for the long routes.",abhishek dogra,4.5,"Jun 21, 2022"
2,631cc4f9162b49f160799c1d,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Mahindra Bolero Pickup Is Superb Pickup,"Superb pickup, I give 5 stars rating, and this is the best Mahindra Bolero pickup with good mileage, and the design is also good.",subhash kumar singh,5.0,"May 13, 2022"
3,631cc4fa162b49f160799c1e,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Excellent For Handling,It is good for cargo handling and manoeuvrability has excellent power to haul cargo. Overall the power and performance are acceptable.,arjun rao,4.5,"Apr 22, 2022"
4,631cc4fa162b49f160799c1f,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Best Mahindra Pickup,"Very good pickup, even heavy load, Smooth running, Best results, Safety, Look too good, Mileage is the best, Perfect. ",meet patel ,4.0,"Apr 18, 2022"
5,631cc4fa162b49f160799c20,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Diesel Pipe Damaged,"Pick up a vehicle is so good, but diesel pipe damaged. It's only 10 months old, for four days my vehicle not working,",bikshapathi,2.5,"Dec 20, 2021"
6,631cc4fa162b49f160799c21,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,AC Is Good,A/c is good.,kamal sunda,5.0,"Jul 21, 2021"
7,631cc4fb162b49f160799c22,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Need Refinement And Upgradation In Mahindra Bolero Pik-Up.,"Need to match the power and torque of Tata Yodha 4x4 who is grabbing the market as of now with new features, power, and pickup.",bengia gungma,2.5,"May 05, 2021"
8,631cc4fb162b49f160799c23,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Mahindra Bolero,This review of Mahindra bolero pick-up 1.3T with ac. The pick-up CBC modal is best. Mahindra is a good company,kamal sunda,4.5,"Apr 13, 2021"
9,631cc4fb162b49f160799c24,Mahindra Bolero Pik Up Extra Long ,4.4/5,Rs.8.85 - 9.12 Lakh,Some Serious Problem Which Need To Be Fixed.,"I have been driving a Mahindra bolero pickup 4x4 for almost 4 years now. As the rear springs are bolted below the axle, it got stuck too easily in mud; also the projected body floor right above the rear wheel often creates problems when loading cargo. The outer side of the body wall extends far too low. It bumps ground easily in places like ours. C...",ramdinthara,1.5,"Dec 10, 2020"
