,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc449162b49f160799bbc,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Very Good Condition And Comfortable,"Very comfortable with a reputation for delivering concise and reliable information on vehicle quality, safety, and performance, Consumer Reports provides thorough reviews on all types of cars, trucks, and SUVs. Consumer Reports cars receive ratings based on either feature data or test drives.",daksh,5.0,"Sep 10, 2022"
1,631cc44b162b49f160799bbd,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Value For Money,"Good mileage, best Indian car, good quality materials used, finishing design and the long driving experience is very good. It's so comfortable. Overall this is a value for money.",susai fernandas,3.5,"May 27, 2022"
2,631cc44b162b49f160799bbe,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Mileage Good Nice Safety,"Great car in terms of mileage, comfort, safety, and load capacity. It's good for family purposes as well.",nasreen ahemad ,4.5,"May 13, 2022"
3,631cc44c162b49f160799bbf,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Good Mileage,"This car gives good mileage, comfort, and peace of mind. The vehicle is not advertised enough by Mahindra. Its comfort is surely comparable with Innova",arun,4.5,"Apr 23, 2022"
4,631cc44c162b49f160799bc0,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Value For Money,"Value for money, fall in love when I took a test drive. All rows have very good legroom & very comfortable drive. You can expect sometimes more than 15 kmpl Better than other cars in Indian traffic What is more valuable than mileage these days. ",snehanshu das,5.0,"Apr 22, 2022"
5,631cc44c162b49f160799bc1,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Best Car,"Using it for 2 years.The best among the segment. it's a really quiet car, with ultimate comfort in driving and travelling. I'm not sure why Mahindra is not promoting it that much. It's definitely a competitor to Innova. Almost everyone who is travelling with me is surprised with the quality and comfort this car provides. If you are planni...",arun babu,4.5,"Feb 08, 2022"
6,631cc44c162b49f160799bc2,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Value For Money,"Reviewing after 8 months. Owning M2 variant. Hill climbing should be okay once you start getting used to it. Ground clearance is less, and one should be careful while driving on bad roads. If you are racy on highways definitely it's not your cup of tea. Rest all assured of the price. I miss alloys for my wheel.",vijaya krishna kumar venugopal,4.5,"Jan 06, 2022"
7,631cc44d162b49f160799bc3,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,About My Experience,"Best car ever purchased. It is very comfortable for long journeys. I traveled in Maruti Suzuki Ertiga in a third row only two people were sitting, but it was so suffocating, but in Marazzo three people went sitting, but the cabin was so airy, and I don't regret buying Marazzo.",mehdi raza,5.0,"Dec 14, 2021"
8,631cc44d162b49f160799bc4,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Marazzo -30000 km Itself Tyre Damaged,"Worst car. Not worth for long travel. Car Tyre was damaged in 30000 km itself. They provided Stepney tyre is not at all useful tyre. While buying this car check the Stepney tyre quality, and buy it, and also the way of handling the customers also worst",sathesh,1.0,"Nov 12, 2021"
9,631cc44d162b49f160799bc5,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Economical Spacious Car,"Have driven 6000km so far. It's simply superb. Handling, comfort & space are very good. 3rd-row seats can easily accommodate 3 medium-sized adults. Marazzo = Innova comfort + ertiga cost. The only con is the engine power (i.e) no sudden acceleration. But you can neglect this con because it's the best fuel economy. I got 20kmpl with 8 people loa...",lakshmi narayanan r ,4.5,"Nov 10, 2021"
10,631cc44d162b49f160799bc6,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,I Love This Car very Spacious,"I love this car. Very spacious and comfortable, 3rd row is also very spacious. Mileage is superb, long drive experience is an amazing, great look",prasad kulkarni,5.0,"Oct 21, 2021"
11,631cc44e162b49f160799bc7,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Marazzo A Safe And Comfortable MPV,"After owning Marazzo M2 almost for a year. I find this vehicle very comfortable for a city/long drive without any tiredness after the drive. We had no problem in pulling in with 5 people, and huge luggage during our long drive of 1200kms. We got a mileage of nearly 20 to 21kms per liter which we dint expect. I would recommend this vehicle for a big...",togarai ramaswamy sastry sambasivan,4.0,"Sep 23, 2021"
12,631cc44e162b49f160799bc8,Mahindra Marazzo ,4.6/5,Rs.13.17 - 15.44 Lakh,Mileage And Performance Better Than Innova,Good mileage and nice performance. I am getting a mileage of 20kmpl. Periodic service cost are also affordable.,sanju krishnan,5.0,"Sep 15, 2021"
