,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc396162b49f160799b2e,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Stylish or Comfortable Car Hai,"Yeh super stylish or comfortable car hai. Car ki performance, mileage or handling bhi acchi hai. Car ka A/C bhi bahut jaldi car ko thanda kar deta hai.",ajay sharma,5.0,"Sep 10, 2022"
1,631cc398162b49f160799b2f,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Value For Money Car.,"It's excellent to drive and wonder-full experience with this car and compared to other vehicles like SUVs its better choice to buy, and I love it, it will shake the market by its looks and by its performance and its comfort and its safety. Value for money car.",poreddy padmavathi,4.5,"Sep 09, 2022"
2,631cc399162b49f160799b30,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Most Fantastic Car,"This is the most fantastic car ever. I love this car. And 4x4 variant is such a fantastic car with extra power and more features. And it's very spacious. It's a Fantastic Family car and the best for off-road traveling. For a long drive, it's very comfortable.",harsh sompura,5.0,"Sep 08, 2022"
3,631cc399162b49f160799b31,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Really Awesome,"This is really awesome but in the petrol variant, mileage gets a loss and we can say that overall performance, build quality, interior, and comfort are awesome. ",lalit kumar,4.5,"Sep 08, 2022"
4,631cc399162b49f160799b32,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Good Experience,Good experience of driving and comfort with a stylish and attractive look only mileage is the average best car.,harsh  kumar,4.5,"Sep 07, 2022"
5,631cc399162b49f160799b33,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Amazing Off-Roading looks,Mahindra Scorpio N is the best and strongest car. There is no answer to safety. Mahindra's Scorpio N is useful in 4X4 and an amazing offroading looks.,choudhury ,5.0,"Sep 04, 2022"
6,631cc39a162b49f160799b34,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Scorpio N - Features & Specs,"Mahindra Scorpio-N offers two engine options and two transmission choices. Transmission options include a 6-speed manual and a 6-speed torque converter automatic for both petrol and diesel engine options. For off-road enthusiasts, there is a 4x4 variant also on offer with the diesel engine only.",manish sharma,5.0,"Aug 31, 2022"
7,631cc39a162b49f160799b35,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Very Comfortable,"I thought it is a high luxury car, it is very comfortable, stylish, and very affordable in terms of its features or comfort.",ritesh kumar sahu,4.5,"Aug 31, 2022"
8,631cc39a162b49f160799b36,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Good Looks Car.,"Looks very beautiful. The engine is powerful Safety is very good, good mileage, and maintenance is very good. The best car in the market today.",rakesh kumar ,4.5,"Aug 28, 2022"
9,631cc39b162b49f160799b37,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Worthy SUV In The Segment,"It is the most worthy SUV in the segment. It comes with a lot of amazing features, which are useful in daily use.",rakshit chaudhary,4.0,"Aug 28, 2022"
10,631cc39b162b49f160799b38,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Well Done Mahindra,"Well done Mahindra. I was amazed when I was driving Mahindra Scorpio N Diesel a value for money package offered by mahindra. When you drive this car absolutely love this. Ride quality, seating position, ground clearance, suspension setup you feel like a boss when you drive this. First thing is seating position of this vehicle you can see both ...",mudit chauhan ,4.5,"Aug 25, 2022"
11,631cc39b162b49f160799b39,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Performance Is Unbeatable,"Its performance is unbeatable, and its power is superb. It's a stylish and comfortable car in its segment,",ashutosh singh,4.5,"Aug 25, 2022"
12,631cc39b162b49f160799b3a,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,The New Mahindra Scorpio N Is Better Than Old Scorpio,The new Mahindra Scorpio N is better than the old Scorpio. You will not find so many features anywhere in this entire vehicle industry at this price. The best SUV there will ever build in India. No one can beat the design of Scorpio N.,ajeet singh ,5.0,"Aug 25, 2022"
13,631cc39c162b49f160799b3b,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Powerful Car,The car has a very powerful engine that has very good off-roading capabilities. I took the car to various challenging terrains and the car outperformed every single time. I love the powerful engine and the sharp looks of the car.,dev sharma,5.0,"Aug 24, 2022"
14,631cc39c162b49f160799b3c,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Best Mileage And Performance,"The first priority is that the capacity of 7 passengers, well in comfort, mileage performance, good in maintenance cost, ground clearance is awesome , not any rattling sound create while driving in offroading, outer look good with bulky touch and the tail light good in shape. The overall new model is pretty.",shshank arora,4.5,"Aug 24, 2022"
15,631cc39c162b49f160799b3d,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Thrilling Performance,"The All-New Scorpio-N makes every drive an experience with its unmissable design, thrilling performance, advanced technology, intuitive features, superior comfort & safety. It truly is the Big Daddy of SUVs.",user,5.0,"Aug 24, 2022"
16,631cc39c162b49f160799b3e,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Mahindra Scorpio N Best Price,I think you can not find any better car at this price point. The pricing is very aggressive and it has all the new and latest features which we need in a car. The car has very good space in the cabin and the average is good as well.,divisha jain,5.0,"Aug 22, 2022"
17,631cc39d162b49f160799b3f,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Good Car In This Price Segment,"This is an amazing car, it looks good and it has great features with top-notch performance. Its safety features are also good. This is a great car in this price segment. 
",user,4.5,"Aug 17, 2022"
18,631cc39d162b49f160799b40,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Look Is Next Level,"I am a Scorpio lover because its look is next level, as well as good mileage. We are very happy when we come to know that this is an Indian brand car. Its performance is good and I really enjoyed seeing them, one more thing in the crash test sure to get a 4 - 5-star rating.",virender singh ,4.5,"Aug 12, 2022"
19,631cc39d162b49f160799b41,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Mahindra Scorpio-N Not Good,"I had various issues with this car which I came to know after driving it for a while. The boot is smaller than expected and is of no use. Thus, the interior, fit and finish are not at all good and feel cheap. The third row is very small and can't be used for long drives. 
",kamal bagda ,3.5,"Aug 08, 2022"
20,631cc39d162b49f160799b42,Mahindra Scorpio N ,4.6/5,Rs.11.99 - 23.90 Lakh,Comfortable Car,Very good with a comfortable seat and stylish and bold look gives a nice mileage and has a very good amount of space.,madhav pareek,5.0,"Aug 06, 2022"
