,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631caae8250c5694bc844b61,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Vehicle Are Of Many Types The Thar Only Desirves Its Place Like P...,The best off-road vehicle I ever experienced in my life Thar is a Powerful and excellent vehicle that can easily travel on any type of road India's only brand Mahindra I prefer this vehicle for long drives in a hilly area in the rainy season it is the only weapon to me to travel out I love it a lot.,sanjeev,5.0,"Sep 09, 2022"
1,631caaea250c5694bc844b62,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,My Driving Experience Has Been The Best With This Vehicle.,"It is the best vehicle for bad roads, the driving capability of the vehicle is also good, everything else is fine, it depends on the driver. The reality of this SUV is that no one can beat this vehicle in its segments. The real fun of driving this vehicle is enjoying in the hills and bad roads.",krish murmu,3.0,"Sep 07, 2022"
2,631caaeb250c5694bc844b63,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Nice Car For Family Also,"This car's road appearance is very nice. Nice car for family also. For boys and girls, it's a good option to buy. Driving is fun with the new engine. The looks of the bumpers can be a bit more macho. Now ride quality has been better since the last that but the convertible top has to be a bit Re-engineered.",ashwani choudhary,5.0,"Sep 06, 2022"
3,631caaeb250c5694bc844b64,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Boot Space Is Little,"I think this is one of the best offroad cars in this price range.Â This car has very little boot space, best car.Â ",samyak jain,3.5,"Sep 06, 2022"
4,631caaeb250c5694bc844b65,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Lacks Space And Comfort,Looks and built quality is much enhanced. But lacks space and comfort. Mileage is not that good in this price segment. It is like a show-off type of car.Â ,rahul aery,3.5,"Sep 05, 2022"
5,631caaeb250c5694bc844b66,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Best And Strongest Car,MahindraÂ Thar is the best and strongest car. There is no answer to safety. Mahindra's Thar is useful in 4X4 and an amazingÂ offroading looks.,choudhury ,5.0,"Sep 04, 2022"
6,631caaec250c5694bc844b67,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Very Comfortable,Mahindra Thar is very comfortable and smooth. It is very good performance. Thar looks areÂ very good. This car is a good car for off-roading. Driving modes are awesome and best in SUV management.Â ,niyaj ahmad,5.0,"Sep 04, 2022"
7,631caaec250c5694bc844b68,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Worth Buying,Good car and worth buying The model looks awesome The feeling of driving the car is also good They are open for feedback and the response is good.,arpita singh,4.0,"Sep 04, 2022"
8,631caaec250c5694bc844b69,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,THAR Not Just A Car.,"THAR is not just a car it's an expression about having the most muscular car on the road. You can take this car to offroad tracks, highways, and your friendly streets just all that casually. This car is most favorable in areas near the mountains. Thar has the most masculine look and this generation is even better with all the basic and premium feat...",shaurya kumar,4.5,"Sep 04, 2022"
9,631caaec250c5694bc844b6a,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Amazing Car,"This is an amazing and fully stylish car, but the mileage is very low. The overall driving experience is also good, and the performance is unbelievable.",user,4.5,"Sep 04, 2022"
10,631caaed250c5694bc844b6b,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,My Dream Car,Mahindra Thar is the most beautiful car and someone's dream car and best performance in the millage and best looking car.,nikhil rathod,5.0,"Sep 03, 2022"
11,631caaed250c5694bc844b6c,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Nice Car With Best Features,Very nice car withÂ the best features. It's a very comfortable andÂ good performance car.,yesh solanki,5.0,"Sep 03, 2022"
12,631caaed250c5694bc844b6d,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Mahindra Thar IS Wonderful SUV,This SUV is wonderful and very powerful with a muscular look. This SUV is looking good and is a super performance.,shiv lal suthar,4.5,"Sep 03, 2022"
13,631caaee250c5694bc844b6e,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Specification Of The Car,"Performance is best, mileage is good, the front look is very attractive, big tires, less vibrations while driving, stability is very good, music system is very good, safety is good, the height of the car is very good, length of the car is best, lights of the car is awesome, 4Ã—4 system is better than other cars, the overall car is good",ankit bailwal,4.0,"Sep 02, 2022"
14,631caaee250c5694bc844b6f,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Good Car,"Good car, if I see other cars that is a different car. If you like adventure this is the best car and not only for adventure, it is fit forÂ any condition. After all,Â it was a full package and the perfect car. I love this car very much and I was suggesting everyone buy this car . 
 
",ankit das,4.5,"Sep 01, 2022"
15,631caaee250c5694bc844b70,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Perfect Car,"The new look of Thar is just awesome, equivalent to European market styling, the performance of the vehicle is outstanding, andÂ the perfect car for off-roading.Â ",mohammed asif,4.5,"Sep 01, 2022"
16,631caaee250c5694bc844b71,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Good Choice,Good experience and fully satisfied. Mileage in this segment is ok. Looks like a legend and is incomparable.,ravi kumar,4.5,"Aug 31, 2022"
17,631caaef250c5694bc844b72,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,It's Likes Royal Dashing Four-wheeler,It's like a royal dashing four-wheeler. Totally satisfied it's service's safety and performanceÂ overall excellent performance I loved it very much and I also advised all car lovers if your choice is royal so you go with Mahindra Thar.,dinesh singh yadav ,4.5,"Aug 28, 2022"
18,631caaef250c5694bc844b73,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,THAR IS ONE OF THE BEST CARTHAT I HAVE EVER SEEN.,THAR IS ONE OF THE MOST AFFORDABLE OFF-ROADING SUVS. PEOPLE LIKE IT THE MOST AFFORDABLE THAR. ITS PERFORMANCE IS QUITE TERRIFIC. MAHINDRA THAR IS A STYLED SUV THAT I LIKE.Â THAR IS ONE OF THE BEST CARÂ THAT I HAVE EVER SEEN.Â ,tushar singh,5.0,"Aug 28, 2022"
19,631caaef250c5694bc844b74,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Overall Experience Is Good,Overall experienceÂ is good and it would be great to ride. It is very comfortable to drive.,pravesh kumar,4.5,"Aug 27, 2022"
20,631caaef250c5694bc844b75,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,EXTERIOR IS JUST AWESOME,THAR IS ONE OF THE MOST AFFORDABLE OFF-ROADING SUVS. PEOPLE LIKE IT THE MOST AFFORDABLE THAR. ITS PERFORMANCE IS QUITE TERRIFIC. MAHINDRA THAR IS A STYLED SUV THAT I LIKED THE MOST. ITS EXTERIOR IS JUST AWESOME.Â ,vohra almaz,5.0,"Aug 26, 2022"
21,631caaf0250c5694bc844b76,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Mahindra Thar - Best Selling SUV,"Mahindra Thar is not only the best-selling off-road SUV of the company as well as in its segment. It is liked for its powerful styling and engine. This car is also very much liked by the youth. Now apart from off-roading, it can also be seen on city roads. You get better high-speed stability in this car.",divisha jain,5.0,"Aug 22, 2022"
22,631caaf0250c5694bc844b77,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Amazing Car,I am in love with this top-class off-road SUV. Mahindra Thar comes with a spacious cabin where you get plenty of legroom to sit comfortably and drive. The seats are made of upholstered leather providing utmost comfort to the driver as well as the passenger. This car never makes you feel uncomfortable.,kavita kanwariya,4.5,"Aug 18, 2022"
23,631caaf0250c5694bc844b78,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,This Is An Offroading Car,It is lookingÂ good and its performance good. Its 4Ã—4 wheel is also very good. This is an offroading car.,mradul tiwari,5.0,"Aug 16, 2022"
24,631caaf0250c5694bc844b79,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,The Most Spacious Car,"The most spacious car. My experience with Wagon R has been fantastic from buying to till date. I can say that it's been a complete family car for me as of now. I had Maruti Alto before this, but when I bought Wagon R, almost all the issues, which I used to face with Maruti Alto have been solved. The biggest problem I used to face as a 6 feet tall g...",abhishek bishnoi,5.0,"Aug 15, 2022"
25,631caaf1250c5694bc844b7a,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Best For Off Roading,"It's nice for off-road, and I like its bold look.Â The build quality of this car is brilliant, and its performance is also good.",vishal sharma,3.5,"Aug 12, 2022"
26,631caaf1250c5694bc844b7b,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Best Performance Car,"Thar is the best performance and mileage car with wonder full design, tyar grip.",deepak kumar,5.0,"Aug 02, 2022"
27,631caaf1250c5694bc844b7c,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Best SUV In This Segment.,This is the best SUV in this segment. Its mileage is also good and the performance is superb!,sachit singh,3.5,"Aug 01, 2022"
28,631caaf1250c5694bc844b7d,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Mahindra Thar Build Quality Is Too Good,"ThisÂ is a very nice and goodÂ offroading car. The nice interior andÂ comfortable for your family. TheÂ build quality is too good with the smart screen.Â TheÂ goodÂ seats.Â led lights, and I suggestÂ you buy thisÂ car.",poonam rathore,4.5,"Jul 28, 2022"
29,631caaf2250c5694bc844b7e,Mahindra Thar ,4.4/5,Rs.13.53 - 16.03 Lakh,Good Off Roading Car,The TharÂ isÂ a good car forÂ off-roading. It performed very nicely and ground clearance is very comfortable. Driving modes are also interesting.,gnanendar reddy,4.5,"Jul 17, 2022"
