,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc349162b49f160799ae2,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Best SUV,"Very comfortable and safe, it has a very cool sound system and software with very nice performance. Mileage is wonderful, and worth buying",ramnath patil,4.5,"Sep 09, 2022"
1,631cc34b162b49f160799ae3,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Wonderful Car XUV700,XUV 700 is a wonderful car. Its safety and performance are also good.,grewal,5.0,"Sep 08, 2022"
2,631cc34c162b49f160799ae4,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,This Is Fun To Drive With Great Power,"This is fun to drive with great power. It comes with a lot of features, and the styling is also great from the outside and inside.",vinay,5.0,"Sep 08, 2022"
3,631cc34c162b49f160799ae5,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Comfortable Car,Also very well other than company also very good service Mahindra to old and new XUV and comfortable.,rahul,4.5,"Sep 06, 2022"
4,631cc34c162b49f160799ae6,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Xuv700 Is A Very Good Car,"Very good car at 29 lakh with a ton of features and safety. It is very stable and good to drive, a very comfortable car.",thunder sangu,4.5,"Sep 06, 2022"
5,631cc34c162b49f160799ae7,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Boot Space Is Great,"Mahindra is the most popular brand and the new logo is awesome, door handle is the most creative thing. The sunroof and rail roof is so big this is feel awesome and the interior is great. The boot space is great. ",neeraj kumar,4.5,"Sep 06, 2022"
6,631cc34d162b49f160799ae8,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Mahindra XUV 700 Is Best Car,Mahindra XUV 700 is a best seller car. The performance of the car is very good. The look of this car is very good. Its all features are also Good. It is best car under 25 lakhs. ,pratik s,5.0,"Sep 05, 2022"
7,631cc34d162b49f160799ae9,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Best Safety With Top Performance,This car comes with new upgraded features in this competitive field.  This car has the best safety with top performance.,vishal,5.0,"Sep 05, 2022"
8,631cc34d162b49f160799aea,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Smooth Feelings,The best car as ever seen best in mileage speed features good in size colour and one best thing in this car is auto drive.,nitish pandey,4.5,"Sep 04, 2022"
9,631cc34d162b49f160799aeb,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Mahindra Best Car,Mahindra is a trustable company in India and Mahindra's all-new variants have good quality and new features and safety purposes Mahindra is good.,bhamsa  jhab,5.0,"Sep 03, 2022"
10,631cc34e162b49f160799aec,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,India No. 1 Car,It's a nice SUV car and its looks are very attractive and very nice XUV 700 is one of the best cars for Indian families and it has more space in a car. And the headlight was very beautiful and very nice and the backlight was also nice. and the interior looks lovely. The display is so beautiful and their sites are like we are sitting in an airplane....,akshay paliwal,5.0,"Sep 02, 2022"
11,631cc34e162b49f160799aed,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Very Comfortable,"It is a very comfortable and luxurious car. It has a fantastic interior with many safety features. Music infotainment is awesome. It has lovely sunroof features that make it so cool. Its display is so big that makes this car awesome in comparison to other cars. In this car, space is much sufficient that making it so comfortable during the journey.",nishant ,4.5,"Sep 01, 2022"
12,631cc34e162b49f160799aee,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Complete Package,"Best car in this segment because of its feature, safety, and performance. The new logo is hilarious and has amazing looks. Autopilot feature is comparable with Tesla with low cost, Affordable and efficient for middle-class families, especially in India. Its door handle is amazing like a Range Rover. It is a complete package for middle-class familie...",shailesh yadav,4.5,"Sep 01, 2022"
13,631cc34e162b49f160799aef,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Most Beautiful Car In The World,"Most beautiful car in the world, Affordable price for Indians, Next level features are provided in this segment. The electric blue colour look is very attractive and bright. ",gh shrini,4.5,"Sep 01, 2022"
14,631cc34f162b49f160799af0,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Value For Money Car,King of its segment and a segment above. Best value for money proposition in India. The ride quality is superb. I prefer it over the safari but not by much. Safari is tough and better to ride in. This however adds a layer of finesse and tech and the overall interior quality is top-notch. On the outside doesn't look as menacing as the safari but is ...,saurabh wagh,5.0,"Aug 31, 2022"
15,631cc34f162b49f160799af1,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Review Of XUV 700,"At this price range, the car has not yet come from other companies like TATA, SUZUKI, etc. The features of Mahindra XUV 700 has more and more features loaded in this car. It has a feature of BMW, RANGE ROVER. This car cracked a 5-star rating by GLOBAL NCAP. ",kkb mathematicians,5.0,"Aug 30, 2022"
16,631cc34f162b49f160799af2,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Amazing Car,Such an amazing car with great performance and no other car to compare with XUV700 in this price segment.,sachin patel,4.5,"Aug 29, 2022"
17,631cc34f162b49f160799af3,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Best Seller Car,Mahindra Xuv 700 is a best seller car. The performance of the car is very good. The look of this car is very good. Its all features are also Good.,arpit toppo ,5.0,"Aug 28, 2022"
18,631cc350162b49f160799af4,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,The Best Car You Can Buy Over Fortuner.,I would say this is one of the best cars currently available in the market and comes with the best-in-class engine and best-in-class technology. And that too in your budget and that two in your budget the only thing to be concern about is the mileage that it offers because of a very big petrol engine it offers only 7 to 8kmpl in city driving. But i...,sandeep kumar,4.5,"Aug 28, 2022"
19,631cc350162b49f160799af5,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Comfortable And Safest Car,It's a very comfortable and safest car with a good interior like Audi and Mercedes. This SUV is such a good performance car.,nit,4.5,"Aug 26, 2022"
20,631cc350162b49f160799af6,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Fantastic Car,"It is a fantastic car with good mileage, features, looks, performance, and build quality are the best.",mahendrakumar baviskar,4.5,"Aug 18, 2022"
21,631cc350162b49f160799af7,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,XUV 700 Is A Comfortable Car for The Family,"The XUV 700 is a comfortable car for the family, and it has good features with automatic transmission, steering control is also good.",gagan vishwakarma,5.0,"Aug 18, 2022"
22,631cc351162b49f160799af8,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Good Car,"Amazing car with execellant comfort level, functionality, looks and performance. ",commissioner office,5.0,"Aug 12, 2022"
23,631cc351162b49f160799af9,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Awesome Features,Great car with awesome features. ADAS works so well and is very much needed on Indian roads. Adaptive cruise control is so nice. It even detects bikes. Well-controlled body roll and excellent suspension setup compared to XUV 500. Excellent engineering by Mahindra. AT can be a bit jerky at times. The blind spot camera view could have been larger. An...,aravinth,5.0,"Aug 07, 2022"
24,631cc351162b49f160799afa,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Good Car To Buy In This Price Range,"A good car to buy at an affordable price, the car is having mind-blowing features and its handling is superb. Recommend to everyone. 
",khalid,3.5,"Aug 06, 2022"
25,631cc351162b49f160799afb,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Safer Choice,"Mahindra is XUV700 is best in comfort, no noise in the cabin, powerful and refined engine, so smooth drive experience.",mor deepu,3.5,"Jul 30, 2022"
26,631cc352162b49f160799afc,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Good Car,"The XUV 700 is a powerful, fantastic and complete family SUV car with Comfort. Go for it. ",nadim khan ,4.5,"Jul 30, 2022"
27,631cc352162b49f160799afd,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Great Mileage,"Overall very good car experience, great mileage, comfort, and good handling. Space is adequate but not in the third row. Mahindra would have thought of making second-row seat adjustments so that adequate space would have been provided for the third row also. Otherwise, the car is very good and worth buying for the price",dr m s shekhanawar,4.5,"Jul 29, 2022"
28,631cc352162b49f160799afe,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Best In This Segment,"Overall the car looks premium and safety is top-notch. The car is very comfortable but the only concern is that the mileage is a bit low. Otherwise, this is an amazing car. ",divy jain,4.5,"Jul 28, 2022"
29,631cc352162b49f160799aff,Mahindra XUV700 ,4.6/5,Rs.13.18 - 24.58 Lakh,Nice Car,"The overall experience of Mahindra XUV 700 is excellent. The mileage is amazing, premium quality, maintenance cost is minimum and the foremost is features and engine power is breaking all records.",shubham kumar,5.0,"Jul 28, 2022"
