,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cb6ccbdf89fbfc687856b,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Best Car,"Baleno is the best premium hatchback car in India in all competition cars.Â 6 airbags are very needful that provide in Baleno 360 degree camera I like So, overall this is the bestÂ in this price range.",vikas saini,5.0,"Sep 10, 2022"
1,631cb6cebdf89fbfc687856c,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Comfortable For Long Journey,The Baleno has wider boot space andÂ is comfortable for a long journey. It's a good mileage car in the petrol variant.,mani,4.5,"Sep 10, 2022"
2,631cb6cebdf89fbfc687856d,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Build Quality Is Better,"If you are looking for a car for the long term this is the car. Good mileage, comfort and less maintenance cost. The price is a little higher but still justifiable and affordable. Very good car for everyday use. Build quality is a little better than the last one but still not so reliable. But again it depends on your awareness.",nani obin cozy,3.5,"Sep 08, 2022"
3,631cb6cebdf89fbfc687856e,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Baleno - A Great Car To Have In Your Family,"Overall a great car. Mine is the new Baleno Alpha MT Blue Colour. The only con I felt was the AC performance in this New Baleno. It's not so effective.. Don't know, if others are also facing this issue or if it's my problem only. If this issue is present in all the cars then we should address Maruti.",souvik samanta,5.0,"Sep 07, 2022"
4,631cb6cfbdf89fbfc687856f,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Baleno Is An Amazing Car,"First of all amazing car with stunning looks and the DRL is also so good. It isÂ getting into the performance the car is worth the money, and powerful too. It is smooth to drive and because of its build quality has been improved andÂ the weight also has increased so the safety is much better than the oldÂ Baleno.Â It feels good to d...",athul s,4.5,"Sep 05, 2022"
5,631cb6cfbdf89fbfc6878570,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,New Baleno 2022 The Complete Premium Package,"Superb in this segment. Great Mileage, six airbags, low maintenance, driving comfort, very good suspension, good boots pace, and superb infotainment system.Â ",debabrata naik,5.0,"Sep 02, 2022"
6,631cb6cfbdf89fbfc6878571,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Very Nice Car,"Maruti Baleno is a very nice-family-city car. But it has a lot of downsides as well. Pros: 1. Exterior look is eye catchy, it looks premium from every angle 2. The Interior is also premium except for the materials used 3. Steering feedback is decent 4. The highway ride is very nice and stable. Cons: 1. Suspension: The suspension is too stiff and at...",priyadarshan kumar,3.0,"Sep 01, 2022"
7,631cb6cfbdf89fbfc6878572,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,New Age Baleno 2022,"Overall Baleno 2022 looks good and wider in front & rear which appeals amazingly. If I talk about mileage it's giving around 23kmpl on highway and in city around 16kmpl, if youÂ face bumper-to-bumper traffic. I must say Maruti should improve there product quality. Apart from this very interior spaces, boot space and comfortable.Â ",shekhar singh,3.5,"Sep 01, 2022"
8,631cb6d0bdf89fbfc6878573,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,After 5 Year Of Driving Baleno,"Everything provided in Baleno is decent starting from features, comfort, safety, etc.Â It gets the job done. I only recommend this car if your budget is tight and you are looking for a hatchback car.",bikash mahapatra ,3.0,"Sep 01, 2022"
9,631cb6d0bdf89fbfc6878574,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Review About Maruti Baleno,"Such a comfortable car with a budget-friendly price and mileage is just so good. Overall a fully loaded car with many attractive features in this price range. Maruti Baleno this time you just hit the market. And now we should put some focus on the car design it just feels very sporty and personally, I like attractive design and sporty looks in the ...",saksham goswami,4.5,"Aug 28, 2022"
10,631cb6d0bdf89fbfc6878575,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Coolest Driving Experience,"The coolest drive experience. It is better than any other carÂ in this price range. In simple words, it'sÂ stylish, comfortable andÂ a great mileage car.",shakir khan,5.0,"Aug 27, 2022"
11,631cb6d0bdf89fbfc6878576,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Best Of Mileage And Comfort,"The car is amazing in fuel economy and performance, it also has good features in terms of comfort. Best car in India under 10lakhs.",laxmikant pawar,4.5,"Aug 27, 2022"
12,631cb6d1bdf89fbfc6878577,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Good Car With Comfort,"It's a very good car withÂ comfort,Â style,Â mileage, andÂ everything. It comes under budget.",abhigyan,4.0,"Aug 25, 2022"
13,631cb6d1bdf89fbfc6878578,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Performance Is Amazing,"I own the Baleno Delta variant. I am very happy with this car. It is easy on the pocket. In terms of performance, this car is far ahead of other rivals in its segment with a dual jet engine. Lots of power under the hood. Styling, comfort and handling are very good. Build quality has also been improved and this car is giving 22 to 23 on highways and...",piyush,5.0,"Aug 16, 2022"
14,631cb6d1bdf89fbfc6878579,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Baleno Is An Amzing Car Under 10 Lac,"This is anÂ amazing car under 10 lac.Â It has good featuresÂ and builds quality. It looks good, and the HUD feature was excellent.",anonymous,5.0,"Aug 15, 2022"
15,631cb6d1bdf89fbfc687857a,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Nice Car With Awesome Features,ThisÂ is a nice car withÂ awesome features and has a 5-star safety rating. The car is silent andÂ no engine sound comes from theÂ cabin. A middle class can afford it.,user,4.5,"Aug 04, 2022"
16,631cb6d2bdf89fbfc687857b,Maruti Baleno ,4.4/5,Rs.6.49 - 9.71 Lakh,Fully Satisfied With Baleno Zeta-2022,"I purchased Baleno Zeta, 2022 on 12.04.2022 and have completed 3850 km. till date. I am not a technical person, thus can not analyse technically. I have a Wagon R CNG Green also 2011 model, it gives an average of 25 Kms. per unit. I was afraid, that Baleno will be costly in use. But, after three months of use, I feel there is not much difference. A...",hs mehra,4.5,"Aug 03, 2022"
