,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cb1e7d9d619de1ab71b26,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,The Experience While Riding This Car Is Super Cool,The experience while driving this car is super cool. I can't feel any problems during travelling. I only feel that this is comfortable for travelling everywhere. It has many useful features and also a camera.,aditya singh,5.0,"Sep 10, 2022"
1,631cb1e9d9d619de1ab71b27,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Wonderful Packaged SUV For Families.,"I own Brezza 2022, coming looks it awesome and safe it is built on the same platform as the old Brezza, and coming to performance steering gets a bit harder balance is good and the suspension is softer whereas the braking is excellent. When we sit in this subfour-meter SUV you will definitely feel like you are riding a big-size SUV. The cabin is mo...",r v,4.5,"Sep 09, 2022"
2,631cb1e9d9d619de1ab71b28,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Wonderful Car,"For safety it is good but driving has a little slow, Model has a wonderful shape it is a very good interior, and a relaxing seat, especially the front of the car. Go Ahead take it",chandraabhishek,3.5,"Sep 09, 2022"
3,631cb1ead9d619de1ab71b29,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Love This Car,I just love this car. I bought it 1 week back and it is awesome. Built quality is impressive and features are very good in this price range. Best car in this segment and you can compare it with Creta and Seltos in terms of size and road presence.,hitesh,5.0,"Sep 08, 2022"
4,631cb1ead9d619de1ab71b2a,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Very Good At Mileage,"Brezza is very good at mileage and engine performance the build quality is also good.Â The interiorÂ style is also very good, the road grip of the car performance is very good, the 360-degreeÂ camera was also good and the instrument cluster, the steering handling is good.Â ",raja sekhar reddy,3.5,"Sep 07, 2022"
5,631cb1ead9d619de1ab71b2b,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Awesome Car In This Range,It hasÂ a great look and the performance is awesome. It comes with greatÂ features and it has good mileage. It is aÂ stylish and durable vehicle in this range. Just go for it.,narendra kumawat,4.0,"Sep 07, 2022"
6,631cb1ebd9d619de1ab71b2c,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Indias Best Car,"Love to drive Brezza, absolutely the perfect family car. Mileage will not disturb your pocket. It's awesome.",azeem,3.5,"Sep 06, 2022"
7,631cb1ebd9d619de1ab71b2d,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Nice Car With Good Comfort,"It is a nice car with good comfort, mileage, design, and looks. The safety is also goodÂ and overall superb car.",rahul,4.5,"Sep 05, 2022"
8,631cb1ebd9d619de1ab71b2e,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Nice Car,"Nice car for family purpose or mini SUV all we can say is that we can have low maintenance car with good features, good mileage,Â and familiarity with the common man's pocket.Â Many more things Suzuki devloped the shape and design that is very attractive and affecting everyone 1462cc engine is enough for everything offroading.Â ",suryansh kaushik,5.0,"Sep 04, 2022"
9,631cb1ebd9d619de1ab71b2f,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Not A Wonderful Car,"Brezza is not a car you would like to buy till you are not a Maruti user. Brezza tries to be what it is not, I don't think this car can handle offroad and because of the boxy design, it includes a lot of body roll. This car claims good mileage but in city conditions, it only gives around 8kmpl. I don't feel comfortable and confident while driving t...",shaurya kumar,2.5,"Sep 04, 2022"
10,631cb1ecd9d619de1ab71b30,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Family Car,Superb quality and value for money low maintenance with good features and comfortable driving experience in city as well highway.,anand d,4.0,"Sep 03, 2022"
11,631cb1ecd9d619de1ab71b31,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Overall Good Car,"My experience with the all-new Brezza is amazing, I own a Brezza Vxi MTÂ and I too installed 215/60 R7 for a massive presence. The engine is refined and smooth moreover a good fuel efficiency of 16kmpl in the city and 19kmpl on highway because the smart hybrid engine compared with rivals Brezza is a better one in terms of drive and power.",auto addicts,4.5,"Sep 03, 2022"
12,631cb1ecd9d619de1ab71b32,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Breeza Like Affordable Suv,"Brezza is a mileage car, family car, affordable low maintenance, comfortable, and performance engine.",harshit dhawan,5.0,"Sep 03, 2022"
13,631cb1ecd9d619de1ab71b33,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Overall Good Car,"Overall good changes inÂ looks, performance,Â and excellent ground clearance.Â It is especially with a sunroof and dual tone.",hemantkumar g patel,5.0,"Sep 03, 2022"
14,631cb1edd9d619de1ab71b34,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Car Is Worthy To Buy,"Overall car is good at the price. The rear design is much much betterÂ than the front.Â It looks like a premium car, andÂ the plus point of the car is it offers a 1500cc 4 cylinder petrol engine which is the best in the segment. None of its competitors offers 1500cc. So a final thing can be said as it is worth buying in the price segmen...",mayur sharma,4.5,"Sep 03, 2022"
15,631cb1edd9d619de1ab71b35,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Bahut Hi Acchi Car Hai Iss Price Main,Bahut hi acchi car hai iss price main.Â SunroofÂ orÂ bhi accha hai aur iskiÂ backÂ aur front side mujhe bahut acchiÂ lagi.,sunil labana,5.0,"Sep 03, 2022"
16,631cb1edd9d619de1ab71b36,Maruti Brezza ,4.5/5,Rs.7.99 - 13.96 Lakh,Best Car In Maruti,I have an aim to buy a car in the future and this is the car. We are four members in my family and this car suits me best as it is an SUV offered by Maruti Suzuki along with the brand name the services they offer is best like ground clearance is very good in this segment although mileage as all know in SUV you cannot dream so much yes in diesel ver...,akshay paliwal,4.5,"Sep 02, 2022"
