,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cb82ee44a88d215b78443,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Superb Car With Smooth Driving,It is a superb car withÂ smooth driving. It is theÂ best mileage car at this price.,user,4.5,"Sep 10, 2022"
1,631cb830e44a88d215b78444,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Good Overall,"Maruti Dzire is the best car for family and commercial purposes and has no competition in India but the body build quality is poor, mileage is good, maintenance is very low, and service is good. Overall performance is very good this is perfect for the Indian family car for private and commercial purposes.",ramji ,4.5,"Sep 10, 2022"
2,631cb830e44a88d215b78445,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Overall GoodCar,"I have been using this car since November 2017. In terms of mileage and performance, we are very happy. Until now apart from the regular service zero maintenance. But the car is not stable while driving above 70kmphÂ and when we apply sudden brakes it gets drifted. The model I am using is VXI. Overall performance is good and very smooth.Â ",ishaan abdulla,4.5,"Sep 09, 2022"
3,631cb831e44a88d215b78446,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Overall Good Performance And Mileage Car,"Overall good performance and mileage compared to other car models, and also at a reasonable price, but safety is an issue in this car.",vishnu,3.5,"Sep 09, 2022"
4,631cb831e44a88d215b78447,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Nice Cars In This Segment,"Nice cars this segment cars best interior wooden, CNG mileage good, long cabin area, rear AC option, exterior first side look Porsche cars inspired, low maintenance, Suzuki services good, only 1 problem CNG fuel plug car body open area not good",hitesh pandya,4.5,"Sep 05, 2022"
5,631cb831e44a88d215b78448,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Performance Is Best,"Excellent Car! Safety should be better,Â and overall the car is nice and good! It's made for the middle class and fulfills all needs and desires. Maintenance is low compared to other brands.",pro x gamerz,4.5,"Sep 03, 2022"
6,631cb831e44a88d215b78449,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Overall Experience Of Maruti Suzuki Swift Dzire Car,"It's made for the middle class and fufill all needs and desires. Maintenance is low compared to other brands, Service network is the best in India. The mileage is sufficient and good to go. The engine is producing decent power on Indian Road. Comfort is a little bit better in future versions. Safety features are enough as per price in segments. It'...",shivraj singh shekhawat,3.5,"Aug 25, 2022"
7,631cb832e44a88d215b7844a,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Swift Dzire Is Good Car,"It is a good car withÂ great comfort,Â mileage, sitting,Â looks, and very nice staring adjustment.",idrish ,5.0,"Aug 19, 2022"
8,631cb832e44a88d215b7844b,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Excellent Car,"Excellent car with good mileage, design, maintainance cost, having all essential, and important features.",prince,5.0,"Aug 16, 2022"
9,631cb832e44a88d215b7844c,Maruti Swift Dzire ,4.2/5,Rs.6.24 - 9.18 Lakh,Nice Car For Long Drives,The exteriorÂ look is awesome with the best mileage and low maintenance. Nice for long drivesÂ and feel luxuries. I recommend everyone to take a look at this carÂ before purchasing other cars.,mohammed jaweed khan,4.5,"Aug 14, 2022"
