,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cba86e44a88d215b78551,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Eeco Is A Only Budget Car.,"When the Eeco was launched, the price of the car was low, the middle-class family could comfortably buy this car, but now the safety in this car is still not good, and the top model of the Eco also has power windows, and central locking. All these features are not given, although its price is more than 6.50 thousand. The price of this car is more t...",dhanrajsinh parmar,3.5,"Sep 01, 2022"
1,631cba88e44a88d215b78552,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Comfortable Car,"Compact and easy to drive and carry a lot of luggage. Low Maintenance cost. Comfortable and easy to drive, Economical when driven at uniform speed results in good mileage.",asrar ahmad,4.5,"Jul 31, 2022"
2,631cba88e44a88d215b78553,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Need Improvement,Eeco is the lightest quality car. Eeco does not have any features. TheÂ mileage is not good. The suspension is very uncomfortable. Eeco braking is also very bad. TheÂ car quality and maintenance is very expensive.Â ,user,1.0,"Jul 31, 2022"
3,631cba89e44a88d215b78554,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Nice Car,It is a nice car that comes withÂ good mileage.Â It is comfortableÂ and affordable for middle-class families.Â The maintenance cost is low.Â It is good for long driving.,ganesh koli,4.0,"Jun 25, 2022"
4,631cba89e44a88d215b78555,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Good Car For Commercial Use,"It's a good car for commercial use. I use my van for loading purposes mostly. The average is not more than 12kmpl in petrol while keeping the AC off, and not more than 17kmpl in gasÂ AC is powerfulÂ low pickup. It feels lagging while driving it. The ride is not that comfortable,Â to be honest. Its maintenance cost is quite low.Â One...",abhishek soni,3.0,"Jun 16, 2022"
5,631cba89e44a88d215b78556,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Maruti Suzuki ECCO,"Good car Maruti Suzuki ECCO and off-roading very good performance and mileage, very good safety. It is a very comfortable car.",amar,5.0,"May 31, 2022"
6,631cba89e44a88d215b78557,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Amazing Product,"It's Nice And Good For Small Family And Business Too. And Also in Good Price For Purchaser Whom looks For A Small Budgets. In Business Help, this Product Is useful For better Courier or Transportation. Nice Colourful Amazing Designs With Better Look And Good Performance. Like It Very Much. Have It Product.",juned shaikh,4.5,"May 18, 2022"
7,631cba8ae44a88d215b78558,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Good Car With Great Features,"Good car with great features, it has awesome mileage and performance. Looks-wise an awesome car and it has enough space. And comfortable for driving.Â  Â ",abhishek gurjar,4.5,"May 09, 2022"
8,631cba8ae44a88d215b78559,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,About Maruti Eeco Good Performance,"I have been driving Maruti Eeco for about 6 months. The fuel economy and mileage fully satisfied me.Â Mostly, I used it for family purposes, and the performance is beyond my satisfaction.",thathang haokip,5.0,"May 08, 2022"
9,631cba8ae44a88d215b7855a,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Comfortable Vehicle,It is a very good vehicle. It has good colour options and good variants. It is the most wonderful and comfortable vehicle. Very good vehicle.,king cobra,4.5,"May 08, 2022"
10,631cba8ae44a88d215b7855b,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Nice Experience With Eeco,"Overall it is very economical to own and drive this car. Satisfying the purpose efficiently. Even after 4 years, pickup is nice.",raj,3.5,"Apr 27, 2022"
11,631cba8be44a88d215b7855c,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Most Affordable Car,"The most affordable car and the commercial vehicle. I like this car, but the interior is so bad.Â You should keep the power steering in Eeco to helpÂ to drive easily.",aftab,5.0,"Mar 31, 2022"
12,631cba8be44a88d215b7855d,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Waste Of Money,"It's a waste of money, this car doesn'tÂ giveÂ good mileage, the company is saying that you will get mileageÂ around 16kmpl or more.Â They are lying, cheating the customers.Â With AC turned on, the mileage you will get is only 8 or 9kmpl maximum, without AC you will get mileage around 13 or 14kmpl.",noormohammedkt  ,1.5,"Jan 31, 2022"
13,631cba8be44a88d215b7855e,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Maruti Ecco Good And Comfortable Car,"It good and comfortable car, good for joint family, and a very reliable car, and trustworthy. I liked this car.",naveen raj,3.5,"Jan 03, 2022"
14,631cba8be44a88d215b7855f,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Family Car,"It's a very good car, under 5 lakh. BecauseÂ a lot of space, good quality, overall best value forÂ money car, and totally family car.",yuvraj patel,5.0,"Dec 17, 2021"
15,631cba8be44a88d215b78560,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Only For Commercial Purpose Its Good.,"Only commercial purpose. Not for family, mileage only can get on the highway. Suspension is very worst, no safety.",srinivasan janakiraman,2.0,"Nov 02, 2021"
16,631cba8ce44a88d215b78561,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Awesome Car,"Awesome car.Â For the middle class and big families, Maruti Eeco CNG is the best option. Best performance and mileageÂ in the city as well as on the highway.",ganeshbhai,3.5,"Aug 20, 2021"
17,631cba8ce44a88d215b78562,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,The 2019 Model Eeco,"Car is very amazing in comfort, and their looksÂ are very beautiful, this is so amazing, and I don't tell you in words because I have no word for this. Just truly awesome",renu bala,4.5,"Aug 09, 2021"
18,631cba8ce44a88d215b78563,Maruti Eeco ,4.2/5,Rs.4.63 - 5.94 Lakh,Maruti Eeco Is Not Comfortable,"Maruti Eeco is not comfortable, no safety, no feature, it is only for commercial purposes not for personal use suspension is also not good the seats are uncomfortable the materials are very low-quality, the interior is too low-quality, seating is too hard this vehicle is too under tyred everything is very basic",abhilash k,1.5,"Jul 25, 2021"
