,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cb7fae44a88d215b7841d,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Amezing Vehicle,"The best vehicleÂ with unbeatable features like mileage, space, safety airbags, 7 seats, and many others.Â The look and feel of this vehicle are awesome.",brajesh kumar ,5.0,"Sep 10, 2022"
1,631cb7fce44a88d215b7841e,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Amazing Car,It's my first car. Good milage and comfortable for family. Low maintenance cost and Maruti service very good. Smooth drive engine and good control on road while driving. Petrol engine gives 13-15 per ltr milage in normal or city drive and 19 -20 on the highway. Overall good car for this price range.Â ,salman khan,3.5,"Sep 09, 2022"
2,631cb7fde44a88d215b7841f,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Best In Segement Car,"Ertiga is best in the segment in this budget price, we can say mini Innova. Comfortable ride for a long journey as all their seats are reclinable. I loved the feature of the Cooled cup holder, it is really useful.",p ghosh,4.5,"Sep 08, 2022"
3,631cb7fde44a88d215b78420,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Value For Money,"Stylish car with ample features. The ride quality is superb, and it's the best 7-seater car. its value for money.",sagar haral,4.5,"Sep 07, 2022"
4,631cb7fde44a88d215b78421,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Affordable Car,"Overall Ertiga is a very good option in 7 seater segment, just what is feel this should provide some more leg space at the rear seats. Safety is not that good but it is an affordable car.Â ",shashikant ghode,4.5,"Sep 07, 2022"
5,631cb7fde44a88d215b78422,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Value for money,Had a great experience driving Ertiga. The best performance andÂ it is veryÂ comfortable while driving. Value for money car.,sushant deep official,4.5,"Sep 06, 2022"
6,631cb7fee44a88d215b78423,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Excellence Comfort And Mileage,This car is aÂ good car andÂ its performance is also superb. Overall its mileage and comfort areÂ excellent.,shu,4.5,"Aug 20, 2022"
7,631cb7fee44a88d215b78424,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Comfortable People Mover,"Comfortable and spacious people mover. Can fit 7 adults with minimal compromise to 3rd-row passengers. Underpowered but adequate for patient drivers. Headlights are halogen which throws inadequate light in oncoming traffic conditions. Build quality is average, door closing thud causes half-open window glass to vibrate a bit before settling down. Gr...",deepak,3.5,"Aug 15, 2022"
8,631cb7fee44a88d215b78425,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Wonderful And Stylish,This car is so fantastic looks and the mileage is wonderful and very low-maintenance car this car is fully secure and styling.,vikrant sandey,4.5,"Aug 07, 2022"
9,631cb7fee44a88d215b78426,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Awesome Car And Comfortable,The car is very awesomeÂ andÂ comfortableÂ when you travel with your family. The features and styling are very awesome. I have driven this carÂ very smoothly.,ravin,5.0,"Aug 07, 2022"
10,631cb7ffe44a88d215b78427,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Maruti Ertiga Is The Best Car,Maruti Ertiga is theÂ best carÂ with good comfort. It's aÂ budget-friendlyÂ car.Â The best performance andÂ looks nice.,user,5.0,"Aug 04, 2022"
11,631cb7ffe44a88d215b78428,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Overall Nice Performance Car,"Nice car within budget. But some features like wireless charging, tyre pressure sensor, and digital instrument cluster are to be added. Overall nice performance and stylish look. 
",gc chiranjeevi,5.0,"Jul 31, 2022"
12,631cb7ffe44a88d215b78429,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Ertiga Is Good Car But Not Luxurious,"Ertiga is a good car, but it is not luxurious and expensive. The Ertiga VXI has no touch screen and armrest. That is good not very good.",priya devi,4.5,"Jul 31, 2022"
13,631cb7ffe44a88d215b7842a,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Superb Car,This car has everything you need in a 7-seater version. It is very spacious and the best thing is that this car is available in the CNG version.,good boy,4.5,"Jul 14, 2022"
14,631cb800e44a88d215b7842b,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,A Good Low Budget Car,Awesome experience with the car while driving and travelling. A budget car with more features and a CNG gas-enabled feature.,mowlidharan ,5.0,"Jul 08, 2022"
15,631cb800e44a88d215b7842c,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,First Choice,"New Ertiga is the first choice for every Indian family.Â It comes in best-in-class design, features, low maintenance, and obviously on a low budget with superb mileage. So it is perfect 1. Buying Ertiga was a very good decision. It is worth the money and a family car. Ertiga has good suspension and excellent balancing. Look wise it is not so go...",sanjay,5.0,"Jul 07, 2022"
16,631cb800e44a88d215b7842d,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Best Family Car In Budget,"This is the best car in this segment with required features for the middle-class family. The mileage is around 12-14kmpl in cities and 16-17kmpl on highways. Comfort is also good, the main point to discuss is road grip and no rollover at all. But the main problem is storage space and only one glove box in the front. Overall, this is a great car.",sravan kumar,4.5,"Jul 04, 2022"
17,631cb800e44a88d215b7842e,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Need Improvement,Best car on a budget and in terms of maintenance cost but the feature and safety are not up to the mark. It lacks a soul of driving experience.,mitt rathod,3.5,"Jun 22, 2022"
18,631cb801e44a88d215b7842f,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Nice Car,"It is a great car in terms of mileage, interior, looks, luxurious feel, space, and color.",alok pandey,5.0,"Jun 22, 2022"
19,631cb801e44a88d215b78430,Maruti Ertiga ,4.5/5,Rs.8.41 - 12.79 Lakh,Comfortable Car,"Smooth as butter on roads. Comfort equalizes a flight seat when you sit in ertiga.1600kms we drove. And driving this car is absolutely amazing. The lights are good, Cooling is the excellent best part is CNG saves loads of money.",auto explain,5.0,"Jun 21, 2022"
