,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cb9a0e44a88d215b784b9,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Good Performance With Eye Catching,"Good performance with an eye-catching look,Â Â don't worry about ground clearance. 1200cc engine with the best mileage and stunning look.Â The wheelbase is perfect andÂ overall features are absolutely worthy.",subodh mahadik,4.0,"Aug 28, 2022"
1,631cb9a2e44a88d215b784ba,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Best Car,"I can say it's the best car at this price segment with a fully refined engine,Â great mileage with good comfort, and with its R15 wheels, it gives an additional advantage of the best ground clearance in this segment.",user,4.5,"Aug 14, 2022"
2,631cb9a2e44a88d215b784bb,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Good Car In The Segment,"Ignis is a good car in the segment withÂ a powerful engine. The ignis is more stylish if it has wide alloy wheels and tyres 205/55/15 if you install this tyre every will be crazy about Ignis. no other can beat its style. I am happy with its mileage. Its build quality is better than Swift, Baleno any other Maruti car.",arfan,4.5,"Aug 03, 2022"
3,631cb9a3e44a88d215b784bc,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,The Maruti  IGNIS Is The Way To Go!,"A very powerful engine in its segment! Go for it. At first, I did not like the look of Ignis. One day, I decided to go for a test drive and now I have a different story to tell. It looks quite boxy but it is a powerful vehicle, no doubt! Maruti covers 80% of the Indian car market. Taking every factor into account, getting a Maruti car is always the...",sylvia xaante,5.0,"Aug 02, 2022"
4,631cb9a3e44a88d215b784bd,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,An Awesome Car,"Maruti Ignis is an awesome vehicle, it's driving ergonomics are good.Â If IÂ mention the safety, it's mind-blowing. It givesÂ sporty feel from the outside and luxury from the inside.",jayant rajpurohit,5.0,"Jul 29, 2022"
5,631cb9a3e44a88d215b784be,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Good Car For Indian Roads,Good car for the Indian roads and safety features are very good. It has the great build quality and it's good for the long drive. The mileage is also good and it comes at a reasonable price.,alex ,4.0,"Jul 27, 2022"
6,631cb9a3e44a88d215b784bf,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Sporty Feel,"That sporty feel from the outside and luxury from the inside. Better if there is a 4Ã—4 model. Inside is spacious,Â comfortable, and technically enhanced. Feels like an SUV.Â ",siva  sethu,4.0,"Jul 19, 2022"
7,631cb9a4e44a88d215b784c0,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Nice Car,"This is my first car.Â I amÂ loving the performance, smoothness, and easyÂ drive of this car. Perfect for driving and parking in cities like Bangalore as it is compact and powerful enough (power to weight ratio), where it is problem to drive and park big vehicles. The front look of this car attracts you with the chrome finish. Good for ...",vinayaka m,4.0,"Jul 18, 2022"
8,631cb9a4e44a88d215b784c1,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Overall Good Car,"Maruti Ignis is an awesome vehicle, it's driving ergonomics are good and comfortable seating also makes the drive good. If IÂ mention the safety, it's mind-blowing I didn't realize this much body strength on this car, in the case of Maruti I think that Balano is the safestÂ car, but if I met the Ignis, it's changed because Ignis has a good ...",sree ram,4.5,"Jul 08, 2022"
9,631cb9a4e44a88d215b784c2,Maruti Ignis ,4.5/5,Rs.5.35 - 7.72 Lakh,Really This Is The Best Car,"We own Ignis Alpha AMT 2018 model, still driven at 94000 km with LPG, and CNG aftermarket fitment. Previously LPG fitment IÂ got 13 to 14 per litre LPG.Â Now CNG fitment after 65k IÂ got mileage in CNG in city withÂ acÂ on 16 to 19 km/kg, highway mileage with the speed of 70 to 85kmph I got 30 to 32 km/kg withÂ ac. Really th...",mahantesh,4.0,"Jul 07, 2022"
