,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cbcc7162b49f160799728,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Amazing Car,"I bought the S-CROSS Alpha manual 3 months ago after giving many thoughts. I personally never liked Maruti cars due to cost-cutting in quality. My earlier car was a Ford Fiesta 1.4L diesel and it was exceptionally good in driving comfort, ride quality, and very stable at high speeds. So I wanted a similar car most probably a sedan. I liked Skoda Sl...",shashi,4.0,"Sep 08, 2022"
1,631cbcca162b49f160799729,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Best In Class,"Its almost 3 years for my S-Cross. And, one word I want to say about it is, best in class. performance, safety, mileage is top in class in this segment.",ayush,4.5,"Aug 22, 2022"
2,631cbcca162b49f16079972a,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,My Genuine Review,This car is best for show-off. And this is a big car so this will be perfect for family also. The quality of seats and all are fantastic. Overall I would like to say that this is the best car in this price segment. Thank you.,sumit singh,4.5,"Aug 19, 2022"
3,631cbcca162b49f16079972b,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,An Awesome Experience With It,"I had an awesome experience with its diesel version. It's the best car I have ever purchased. The company must increase the petrol mileage up to 25kmpl. It looks good, and its performance is adequate in Indian road conditions.",rachana,4.5,"Jul 11, 2022"
4,631cbcca162b49f16079972c,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Maruti S-Cross Worth Buying,"It is worth buying and comfortable to drive. Its easy handling steering, excellent braking system, good mileage around 22-23kmpl on road. The car is very stable at high speeds( near 220kmph). The only cons are not having rear AC in the car.",neelakandan g,4.5,"Jun 27, 2022"
5,631cbccb162b49f16079972d,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Very Nice And Great Experience,"Very nice and great experience.  The best mileage and it's a wonderful car. I liked it a lot. Car looks, colors, and design is the most amazing thing. The seat comfort is the most beautiful. ",sayan sen,5.0,"Jun 18, 2022"
6,631cbccb162b49f16079972e,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Very Beautiful,This car is fabulous in every kind of functionality and design. Also in the area of performance and this car is very beautiful.,paras banjara,5.0,"Jun 15, 2022"
7,631cbccb162b49f16079972f,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Good Family Car,"I liked the style. The interior, the mileage, and the efficiency are on par with the competitors. Just missing a sunroof.",aarav tripathi,4.5,"Jun 03, 2022"
8,631cbccb162b49f160799730,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Good And Comfortable,The power and performance of the vehicle are top-notch with pretty good handling. It is fully loaded with features and safety is also good.,virendra kumar dhobi,4.5,"May 12, 2022"
9,631cbccc162b49f160799731,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Good Drive Experience.,Excellent ride quality. Best sitting experience. Good space for five adults. Good highway performance.,harshal patel,3.5,"May 10, 2022"
10,631cbccc162b49f160799732,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,The S-Cross Is A Premium,"The S-Cross is a premium SUV that's worth looking at as a used buy. It's an excellent car in terms of performance, handling, mileage, interior, features, safety and reliability.",ravi,5.0,"May 08, 2022"
11,631cbccc162b49f160799733,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,A Real Sturdy Cross,"Great value for money, can match any car in this and even upper category. I think the company can work more on its interior. But still in two words, Great Car.",kapil mudgal,5.0,"May 01, 2022"
12,631cbccc162b49f160799734,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Good Car,Great mileage. Cancelling my MG Astor because of it. Everything is good in this car be it comfort or safety or exterior design. The only thing which is bad is its interior.,himanshu,3.5,"Apr 26, 2022"
13,631cbccd162b49f160799735,Maruti SX4 S Cross ,4.4/5,Rs.8.95 - 12.92 Lakh,Best Car,"This is the best car in this segment and at this price. The safety rating is 5 stars. Great average, comfortable car. Gorgeous looks that attract everyone on Road.",user,4.5,"Apr 22, 2022"
