,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cb6a8bdf89fbfc6878545,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Overall Driving Experience Is Good,"The overall drivingÂ experience is good, but when we talk about safety then you should be careful while driving at high speed.",shivam,3.5,"Sep 10, 2022"
1,631cb6aabdf89fbfc6878546,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Best Car With Best Mileage,"This is the best car always with the best mileage,Â pickup, and small car.Â Its sound quality, braking system, and driving comfort are also good.",amitav behera,4.5,"Sep 08, 2022"
2,631cb6aabdf89fbfc6878547,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Swift Is The Best Car,Swift is the best car in this segment. Its so good lookinghasÂ  and superb style. Mileage is superb. The comfort is so superb.,sonu kumar bansal,5.0,"Sep 07, 2022"
3,631cb6aabdf89fbfc6878548,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Overall Nice Performance,"This car contains that beautiful jet engine, which helps the car in pulling its pickup at an extreme rate within a beautiful budget. It has great interior styling, and its overall performance is nice.",harsh shah,4.5,"Sep 07, 2022"
4,631cb6abbdf89fbfc6878549,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Best Car,"Best car under budget, stylish looks and nice features but the safety rating is low. The swift has high mileage.Â ",arya a,4.5,"Sep 06, 2022"
5,631cb6abbdf89fbfc687854a,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,It Is A Nice Car With Average Features,It is a nice car for locals but not to travel on the highway because it has very low security but it is a trust worth car with a good average.,prince yadav,4.0,"Sep 04, 2022"
6,631cb6abbdf89fbfc687854b,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Very Good,"This car's average, maintenance cost low, mileage isÂ great, pick up very good, comfortable journey with 5 people as per car design seating arrangement.",mistry yogeshbhai,4.5,"Sep 04, 2022"
7,631cb6abbdf89fbfc687854c,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Amazing Car,"Swift is a very good car. It is very famous in the Indian market since it is launched. In my opinion, its Zxi plus variant is the most value-for-money variant now. But its safety rating in the Global NCAP crash test is not good. For those who prefer safety first, I recommend they not buy this car. But for those who prefer features and looks first, ...",anusruto biswas,4.5,"Sep 03, 2022"
8,631cb6acbdf89fbfc687854d,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Engine Performance Is Good,Engine performance is good. The safety rating is low but it's ok. At this price given future is more than enough. One thing for this car is mileage. Mileage is the superb best thing in a diesel engine. The power of this engine is good. Comfortable for me. This is a family car.,mahaveer ,4.5,"Sep 03, 2022"
9,631cb6acbdf89fbfc687854e,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Performance Is Good,"Swift can provide better performance with good comfort for passengers and of course for drivers, it has a big boot space with 245 liter, and the design of the vehicle is marvelous. The Swift car looks good in red colour. It has high power and can carry 10 bags of cement which I had carried in my vehicle in the lack of availability of another carrie...",vishal pradhan,5.0,"Sep 01, 2022"
10,631cb6acbdf89fbfc687854f,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,All In One Car,"Swift has great mileage, great style (gets better with some minor modifications), and great performance but the only drawback of this car was its safety. When the first swift came in 2005 it had good safety but in 2013 new swifts came with a new design, features, and performance but lighter weight to enhance mileage. Then 2020 came with the best gr...",pranshu tyagi ,4.5,"Aug 29, 2022"
11,631cb6acbdf89fbfc6878550,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Best Car For Small Families,This car is the best car for small families and the build quality must be improved that maybe we can see in the new generation Swift and the best looks in the segment.,rudra,4.5,"Aug 28, 2022"
12,631cb6adbdf89fbfc6878551,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Swift Is The Best Car At This Price,"This is theÂ best car at thisÂ price, but safety is not good. Overall experience is the best andÂ most comfortable seat forÂ five people.",kshteesh malhotra,4.5,"Aug 27, 2022"
13,631cb6adbdf89fbfc6878552,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Maruthi Swift Was Nice Car With Good Features,"The car was a nice withÂ good features and low a maintenanceÂ car as compared to other cars in the segment. The Maruti Swift is giving good mileage,Â and it was a petrol variant with good comfort and safety for us.",mantri shyamala naresh,5.0,"Aug 27, 2022"
14,631cb6adbdf89fbfc6878553,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Comfortable Car Swift,"It isÂ a comfortable car withÂ good looks, and safety. Its performance and mileage are also good.",vinay,4.5,"Aug 25, 2022"
15,631cb6adbdf89fbfc6878554,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Value For Money,"This is the best car, itÂ givesÂ the best mileage andÂ its performance is top-notch.Â It is comfortable while driving. This is a value for money. 
",r k,4.5,"Aug 24, 2022"
16,631cb6aebdf89fbfc6878555,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Maruti Suzuki Swift Is The Best Car,Maruti Suzuki SwiftÂ is the best car for a middle-class family and its looks are too good. Its mileage is also good.,user,5.0,"Aug 18, 2022"
17,631cb6aebdf89fbfc6878556,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Good Looks And Mileage,"The car looks very good, but safety is bad and mileage isÂ awesome.",alekh chourasiya,4.5,"Aug 15, 2022"
18,631cb6aebdf89fbfc6878557,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Best Family Car,"I will give it 5 stars. It is a wonderful car, with nice features, and attractive colours. Good Mileage. BestÂ family car in the Indian market. Suitable for long drives. The best thing about this car is its affordable price for middle-class people.",animesh biswas ,5.0,"Aug 14, 2022"
19,631cb6aebdf89fbfc6878558,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Best Car In The Hatchback Segment,Maruti Swift ZXI Plus is the best car in the hatchback segment. Value for money. So much sporty look. My full family is comfortable with this car. This car is Worth rating above five stars.,makvana vivekkumar ,5.0,"Aug 14, 2022"
20,631cb6afbdf89fbfc6878559,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Amazing Car,It is a great car in terms of power and performance. The mileage of the vehicle is pretty decent with good comfort for long drives. The features it offers are amazing and the vehicle is simply easy to use.,user,4.5,"Aug 13, 2022"
21,631cb6afbdf89fbfc687855a,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Swift Is Best,"Best car for small family. Looks are sporty, very manageable comfortable ride in any condition, provide 20 km per liter mileage on running 80km per hour speed on highway, best car for small family, interior is nice. Swift was my first car and i drove for almost 7 years.",risky boy,4.5,"Aug 13, 2022"
22,631cb6afbdf89fbfc687855b,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Maruti Swift Is Nice Car.,"Overall Swift isÂ a very nice car with lowÂ maintenance, and good mileage.Â Its built qualityÂ is also good,Â but fit and finishes sometimes matter.",siddharth m,3.5,"Aug 12, 2022"
23,631cb6afbdf89fbfc687855c,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Overall Good Car,"Safety is the concern only. Otherwise, mileage is good and is also good in look. But some features are missing and a diesel variant should be available.Â ",vijay kumar,2.5,"Aug 09, 2022"
24,631cb6b0bdf89fbfc687855d,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Swift Nice Car At Affordable Price,It is a nice and low-maintenance car at an affordable price. It performs well.,user,5.0,"Aug 02, 2022"
25,631cb6b0bdf89fbfc687855e,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Best Car Under 8 To 10 Lac,One of theÂ best cars under an 8 to 10 lacÂ budget withÂ good mileage. It is lookingÂ awesome.,tarik ajij,4.5,"Jul 31, 2022"
26,631cb6b0bdf89fbfc687855f,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Amazing Performance,It's amazing look's and mileage for middle class families and it's performance is outstanding and unbelievable.,abhishek,4.5,"Jul 29, 2022"
27,631cb6b0bdf89fbfc6878560,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Waste Of Money,The ground clearance is very less and no average of petrol.Â The AMT transmission is very bad. Don't waste money on this car.,hiren abrol,2.5,"Jul 28, 2022"
28,631cb6b1bdf89fbfc6878561,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Simple Superb Car,"Overall performanceÂ and strategy of theÂ simply superb, and regardingÂ of comfort itsÂ amazing.",krishna sai,4.5,"Jul 21, 2022"
29,631cb6b1bdf89fbfc6878562,Maruti Swift ,4.0/5,Rs.5.92 - 8.85 Lakh,Super Car,Excellent and super car for our budget. Its low maintenance and fuel efficiency are very good. Must buy this car.,divyam,5.0,"Jul 19, 2022"
