,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc2f0162b49f160799aab,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Best Car Under Low Maintenance,The best car with good performance in this price range. Its maintenance cost is low. I suggest you if you are looking best electric car please go for it.,james,4.5,"Jun 27, 2022"
1,631cc2f2162b49f160799aac,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Tata Nexon EV - The Great Driving Experience,"The great driving experience, and overall value for money car. Its exterior, looks, interiors, and comfort were also good.",sunil ,5.0,"Jun 09, 2022"
2,631cc2f3162b49f160799aad,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Nice EV,"Nice to drive and comfortable for traveling, safety features are so good. It is a low cost compared to other EV cars.",arputha nayagam,5.0,"Jun 08, 2022"
3,631cc2f3162b49f160799aae,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,The Looks Are Awesome,"The looks are awesome from the primary colour to the interiors. Seats are too comfortable, lots of space yet little not enough for the whole family. Of course, EV is the best and most sustainable, yet looks so trendy.  Overall awesome. ",suman gwachha,4.5,"Jun 07, 2022"
4,631cc2f3162b49f160799aaf,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Nice Car With Good Looks,Nice car with good build quality and safety. Performance and mileage are too good and easy to drive with low maintenance.,deepak shekhawat raj,5.0,"May 30, 2022"
5,631cc2f3162b49f160799ab0,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Value For Money,"Love this vehicle. Features are too good. Even at this price, no one gives this kind of fabulous car. I will suggest to you, it is a value for money. Go for it.",p malik,5.0,"May 04, 2022"
6,631cc2f4162b49f160799ab1,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,The Best Ev,"It is one of the best EVs, gives a luxury feel and the interior of the vehicle is pretty great. Specifications like the ground clearance and sound system are good.",rakshit jain,4.5,"May 04, 2022"
7,631cc2f4162b49f160799ab2,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Good Car,"Tata has truly come up with the best in class electric cars which is a great combination of price, ride quality and battery efficiency.",anurag ,4.0,"May 03, 2022"
8,631cc2f4162b49f160799ab3,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Overall Good Car,"Overall good car and the style of the car is attractive. It has great security features, it comes with airbags and the interior is awesome.",kuldeep sharma,4.5,"Apr 30, 2022"
9,631cc2f4162b49f160799ab4,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Good Performance,"My friend has bought this car and when I try to drive it. Such a cool car. Believe me or not this is the revolution in the Indian Electric car segment, both in terms of comfort as well as performance.",jayesh patil,4.5,"Apr 27, 2022"
10,631cc2f5162b49f160799ab5,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Best Electric Car Under 20L,"This car comes in the budget segment, which is great to see and fulfills the requirements of a middle-class family. Best in the segment for electric under 20L.",vinay ,4.5,"Apr 27, 2022"
11,631cc2f5162b49f160799ab6,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Nice Performance,"Nice performance, full comfort in the car. Very stylish looks. Full Safety, maintenance cost is very low and mileage is good. ",hemant patil,5.0,"Apr 26, 2022"
12,631cc2f5162b49f160799ab7,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Value For Money,"It's a wonderful car, it offered a smooth engine and is easy to drive. The driving quality is also good. This is a value for money car.",bhavesh hans,5.0,"Apr 22, 2022"
13,631cc2f5162b49f160799ab8,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Impressive Product,"It is a very good car as compared to other EVs. The Interior is also up to the mark. Its mileage is impressive, and the acceleration is fantastic.",naman thakkar,5.0,"Apr 16, 2022"
14,631cc2f5162b49f160799ab9,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Overall Great Car,Let me clarify this. Nexon and Tiger EV is the only affordable car for all buyers which gives ample amount of less maintenance as well as performance. Honestly speaking Nexon is a good start from TATA and has a good potential in the market compared with others.,sai ganesh,4.5,"Apr 13, 2022"
15,631cc2f6162b49f160799aba,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Best Car,"The car is excellent in safety, being electric per km running cost is very less. the car is very spacious and comfortable for sitting. Even the electric charging points are now on the pick so that you can take your car for a spin on the long road,",mudit raka,5.0,"Apr 12, 2022"
16,631cc2f6162b49f160799abb,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Worst EV Ever,"I bought Nexon EV last Friday. I used it on Saturday and plug for charging. Battery overheating alarm flashed while charging. Since then my new vehicle is in the service station (122km driven only). Battery discharging very fast. Very disappointed with Nexon EV. Moreover, the dealer has not solved my problem yet. They don't have enough ma...",aniruddha joshi,2.5,"Mar 31, 2022"
17,631cc2f6162b49f160799abc,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,After An Year Of Use,"I am using the car for more than a year. The car is good and peppy. It looks rich from the inside with great design. The issue is the mileage on a full charge in sports mode is around 125km, and the normal is around 190km. Another thing really really bad is you need to pay Rs3600/year for the Connect app - rip off!! How can you make so mu...",sunil jain,4.0,"Mar 05, 2022"
18,631cc2f6162b49f160799abd,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Happy Customer,"Really happy to have Tata Nexon EV. It gives good mileage, charging is easy, and more than that we are contributing to the environment along with Tata. ",anju kochhae,5.0,"Feb 02, 2022"
19,631cc2f7162b49f160799abe,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Excellent Vehicle,It is the best vehicle in the market currently in the EV sector. It has great performance and delivers smooth driving. Its range is also good.,vydya praveen,5.0,"Jan 31, 2022"
20,631cc2f7162b49f160799abf,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Battery Issue,"I have done my 2nd service of my Nexon EV LUX. I drove 7800 km, 5 months over. I found 3 times there is a sudden drop in battery percentage from 60% to 20% 1st time and 2nd time the battery percentage dropped from 50% to 22%. This is really horrifying if u go for a long drive then you will be in real soups. Sometimes I feel I have done a mistake in...",nawaj hussain,2.0,"Jan 26, 2022"
21,631cc2f7162b49f160799ac0,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Best Car Ever,"Nice mileage, better battery, performance, nice look, stylish body. Best car ever.",vedang nayak,5.0,"Jan 23, 2022"
22,631cc2f7162b49f160799ac1,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,The Best And Only Affordable Electric Car Of India,The best car by Tata. The only thing I don't like about Nexon. It looks from behind and the best thing is a super affordable electric car.,abhinandan kumar,5.0,"Jan 08, 2022"
23,631cc2f8162b49f160799ac2,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Traveled 1000 Km In Just 1000 Rupees,Recently I did a road trip with Tata Nexon and traveled 1000 km in just 1000 Rupees. Sharing the blog with all the folks. Who are interested in purchasing Nexon EV.,ashok,5.0,"Dec 13, 2021"
24,631cc2f8162b49f160799ac3,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,Ev Vehicle Is Good But Battery Suddenly Drop,"EV vehicle is good, but battery suddenly dropping, this is very dangers and uncomfortable thing. Yesterday Nexon EV vehicle backdowns at remaining battery 30%. I am not advised to opt for EV Vehicles.",v srinivasarao,3.5,"Nov 14, 2021"
25,631cc2f8162b49f160799ac4,Tata Nexon EV Prime ,4.3/5,Rs.14.99 - 17.50 Lakh,"Costly, Not Worth It At All","One of my worst decision was to buy an EV. The range is very limited, can't operate AC to ensure reaching home without being stuck in the middle. Lot of problems with SBM, and it is damn costly to maintain this. Pathetic car, don't buy, not worth it at all. Petrol cars are far much better, prices are high as of now but I'll come down eventually",deepak,1.0,"Oct 18, 2021"
