,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc14f162b49f16079998b,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,The Car Is Super Good In Every Performance,"Made in India Tata is One of the best cars in the compact SUV segment in terms of shape, design, safety, features, etc. Words would end but its pros are not gonna end in short it is the best car available as of now",user,4.5,"Sep 10, 2022"
1,631cc151162b49f16079998c,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Tata Nexon Is Value For Money Car,Tata Nexon is the most comfortable car for driving and it is also better for safety purposes. This is my dream car. Value for money.,akash gurjar,4.5,"Sep 09, 2022"
2,631cc152162b49f16079998d,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Top Vehicle With Outstanding Performer,"It is outstanding. Its performance, its looks, its safety, its millage everything is outstanding. I have tested it as my brother has this. I am planning to buy it too.",tajen dulom,5.0,"Sep 09, 2022"
3,631cc152162b49f16079998e,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Best Car Available As Of Now,"One of the best cars in the compact SUV segment in terms of shape, design, safety, features, etc. words would end but its pros are not gonna end in short it is the best car available as of now.",bro stad,5.0,"Sep 09, 2022"
4,631cc152162b49f16079998f,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Safe Car,"Tata Nexon is the safe car in this price segment, mileage is mind-blowing and AC of the car is way too good and powerful handling is a bit of an issue but love the car. ",reverse gear,4.5,"Sep 08, 2022"
5,631cc152162b49f160799990,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Overall Experience Was Good,"Overall experience was very good. Its mileage is better, and maintenance for the car is pocket friendly.",pratik thorat,4.5,"Sep 07, 2022"
6,631cc153162b49f160799991,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Brilliant Vehicle,"Excellent vehicle, best in safety, high ground clearance, good space, 5 people can sit comfortably, one of the good cars launched by Tata.",santosh rajamurthy,4.5,"Sep 07, 2022"
7,631cc153162b49f160799992,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Value For Money,Awesome car in the budget range which has power and performance. We are happy tata customers next we will go with its ev version.,jitendra s,4.0,"Sep 06, 2022"
8,631cc153162b49f160799993,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Super Good,The car is super good in every performance at this price with lots of features system. Safety-wise better with an average service cost build quality in body metal or fiberboards are excellent in quality.,emraan ali,4.5,"Sep 06, 2022"
9,631cc153162b49f160799994,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Best Safety,"Awesome, Now the SUV can't be compared with my Nexon, Thanks TATA for a wonderful SUV. Nexon has been loved enormously for its unique advantages such as turbocharged powertrains and the best safety features across all variants. With the Nexon continuing to rule the compact SUV market, you might be wondering what makes it one of the most successful ...",mahendra kumar ,5.0,"Sep 04, 2022"
10,631cc154162b49f160799995,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,Happy With This Car,"Nexon is one of my favorite cars. I am happy with this car and its comfort, safety, and fuel economy are also good. It is the most affordable family car with good looks also.",madhurjya borah,5.0,"Sep 02, 2022"
11,631cc154162b49f160799996,Tata Nexon ,4.4/5,Rs.7.60 - 14.08 Lakh,The Tata Nexon Is An Amazing Car,"The Tata Nexon is an amazing car, and tata motors have done a credible job in making it. The safest and also looks awesome car in the sub-4 SUV segment. Performance wise it packs in good power and stability. The engine being a 3-cylinder is a bit noisy and less refined, but it does its job pretty nicely. The infotainment system is al...",b kumar,4.5,"Sep 01, 2022"
