,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc200162b49f160799a49,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Best Suv,The best SUV I have purchased the SUV recently You should directly go with safari Leave the Mahindra suxmv 700 is also It cometer but look fies it is killer performance safari is good and the aafaribis from tata company's so safety is top notch and it is made in India also So best car Jai hind Vocal for local.,rakesh singh ,5.0,"Aug 24, 2022"
1,631cc203162b49f160799a4a,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Perfect Car,"Perfect car for SUV lovers. TATA never sacrifices the built quality and safety, Features are so good I love it. Overall performance of the Safari is amazing and exciting. ",jagdish choudhary ,5.0,"Aug 09, 2022"
2,631cc203162b49f160799a4b,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Excellent Car,"Good car mileage is more than my expectations good design, especially in dark edition very comfortable for long trips I drive this car many times there is no problem I like the function very much the headlights are very good I have a dark edition of this car colour is good no problem in the car till now good car.",for study,4.5,"Aug 06, 2022"
3,631cc203162b49f160799a4c,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Good Car In This Segment,"The car looks stylish, its interior is also good and it comes with great features. The safety features are amazing. Overall, this is a great car in this price segment.",vijay,4.5,"Aug 03, 2022"
4,631cc203162b49f160799a4d,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Simply Superb,"I had driven it with my friends till Kanyakumari. The car is simply superb. Most suitable for long drives. The comfort that it offers for the driver and passengers is next level. Never felt tired during the journey, aggressive in Sports mode, and very much impressed with the refinement also.",tejas,4.5,"Jul 04, 2022"
5,631cc204162b49f160799a4e,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Safari Is A Fantastic Product.,"Safari is a fantastic product. Its performance is mind-blowing, safety feels top of the line, and styling is also top of the world. I'm fully satisfied with this car.",nazim ali ,5.0,"Jun 27, 2022"
6,631cc204162b49f160799a4f,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Good Car,"I have driving safari for so long. The looks are always better. The performance above clouds. Each time a better car is revealed recently I just bought the dark edition, a mind-blowing car.",shiva reddy,5.0,"Jun 23, 2022"
7,631cc204162b49f160799a50,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Amazing Car,"I have driving safari for so long. The looks are always better. The performance above clouds. Each time a better car is revealed recently I just bought the Kaziranga edition, a mind-blowing car, especially the color.",user,5.0,"Jun 22, 2022"
8,631cc204162b49f160799a51,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Tata Safari Is Amazing,The power and performance of this vehicle are amazing with good looks in this price range. The vehicle is comfortable for long drives and provides a good road grip.,aditya sharma,4.5,"Jun 05, 2022"
9,631cc205162b49f160799a52,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Nice Car,The power and performance of this vehicle are amazing with good looks and feel in this price range. The vehicle is comfortable for long drives and provides a good road grip.,ultimate gamers pool,4.5,"Jun 03, 2022"
10,631cc205162b49f160799a53,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Good Car,"Nice car features, very smooth to travel, spacious, everything is super okay, the car have everything that a high price range car needs. Good Car. ",user,4.5,"Jun 03, 2022"
11,631cc205162b49f160799a54,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Great Car With Heavy Built Quality,Great car with heavily built quality. Our 2nd car with Tata. The drive quality is good and the engine is reliable. Better than competitors in all means except ADAS and technology. Abut technology doesn't save the car if it is hit hard it should be the quality. That's top-notch in Safari.  ,karthick,5.0,"May 27, 2022"
12,631cc206162b49f160799a55,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Excellent Car,"Sport mode is full of power. You sit in the car and it feels at the same moment that you are safe. The built quality is above par for the segment. The looks are amazing, especially with the dark edition. The only downside is the black colour needs thorough cleaning and care. The ride quality is simply amazing, body roll is very much contained. Nega...",vikas singh,4.5,"May 26, 2022"
13,631cc206162b49f160799a56,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Very Nice SUV,"Very good performance of the car and nice interior, overall very good in looking. It's an amazing car and bring back old memories.",naveen tewatia,5.0,"May 23, 2022"
14,631cc206162b49f160799a57,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Comfortable Car,Better driving experience. Good seat comfort. Looks are also good. Value for money car. And also a professional car.,user,5.0,"May 23, 2022"
15,631cc206162b49f160799a58,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Good Mileage,"Smooth drive comfort in SUV segment, Except 360-degree camera, also returns good mileage. ",prabakar,4.5,"May 17, 2022"
16,631cc207162b49f160799a59,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Best Car Ever,Good car and the safety Is best and performance is also good and the Milage of the car is a decent overall good car.,jasjeet saluja,4.5,"May 14, 2022"
17,631cc207162b49f160799a5a,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Safari Is A Good Car,"The Tata Safari is a very good car. Its looks, safety and comfort everything is good.",biswajit biswas,4.5,"May 12, 2022"
18,631cc207162b49f160799a5b,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Fantastic Car,This is fantastic and looks-wise great. It's safe to drive and this exterior look luxurious. It's my favourite car. All things are good in this car.,user,4.0,"May 10, 2022"
19,631cc207162b49f160799a5c,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Overall Its An Amazing Car,I loved the car not only cause of its look but the mileage it gives and maintenance are very affordable for my pocket also the moonroof is one feature which is awesome not only for attraction. But simply it's cool for Tata Safari also the ground clearance is better compared to the old model of Tata Safari. I hope Tata will make more improvemen...,sarthak ,4.5,"May 05, 2022"
20,631cc208162b49f160799a5d,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Good and Comfortable,Good car very comfortable and looks awesome when you drive it. I have a navy blue colour in this car.  AC works very well it's totally awesome car performance is very good,divyansh pandey,4.5,"May 04, 2022"
21,631cc208162b49f160799a5e,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Excellent Car,"This is an excellent car. The design, headlamp, interior, exterior, panoramic sunroof, and engine power are amazing. ",sanjay kumar mishra,5.0,"Apr 29, 2022"
22,631cc208162b49f160799a5f,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Good Car,"I am very lucky to be an owner of the Tata Safari. Now Safari looks bolder and bulky, comfort is top of the line, and the JBL music system is out of the box.",bashab dutta,4.5,"Apr 21, 2022"
23,631cc208162b49f160799a60,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Big SUV,"Overall great experience driving this off-road king. We even didn't think a single time to jump into an off-road situation. Great mileage on the highway and its sports mode is just fabulous totally amazing. It is so comfortable for all the passengers not only the driver, even in the third row. Ac vents are placed in perfect position. It h...",siddharth dalal,4.5,"Apr 20, 2022"
24,631cc209162b49f160799a61,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Overall The Car Is Good,Overall the car is good in all aspects. The mileage I get is 10 to 11kmpl in the city and a maximum of 17kmpl on trips. The service experience is good. But the major drawback is the fit and finish. ,bhavesh sharma,4.5,"Apr 20, 2022"
25,631cc209162b49f160799a62,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Perfect SUV,"This is an awesome SUV car in India, it look is fantastic, I like its big touchscreen display, wireless charging, A.C. and sunroof. I dislike its boot space, it gives the best mileage on the highway and very comfortable driving experience.",veer patel ,4.5,"Apr 12, 2022"
26,631cc209162b49f160799a63,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Looks Awesome But Doesn't Feel Like A 25 lakhs Car,Bonnet is too high because of it road visibility is reduced. Not easy to drive in the city as it feels very big hard steering. Looks good but doesn't feel like a 25 lakhs car when you drive it.,praveen,2.0,"Mar 04, 2022"
27,631cc209162b49f160799a64,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Best Car,"Very good MUV, I love this car. Please improve a  bit & load more latest features. Otherwise good MUV with beautiful looks & good safety features. ",arvind vaishnav,4.5,"Feb 16, 2022"
28,631cc20a162b49f160799a65,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Safety And Acceleration,"Safety and acceleration of this car with affordable price and good mileage. And cars look somehow like Land Rovers cars. And as an Indian, you should buy an Indian brand car.",himanshu yadav,5.0,"Jan 29, 2022"
29,631cc20a162b49f160799a66,Tata New Safari ,4.6/5,Rs.15.35 - 23.56 Lakh,Best Of My Choice,Overall good experience in driving and comfort. New looks like luxury feeling & ventilated seats of leather white color awesome. If a 360-degree camera is available it will be the best.,srujan kumar,4.5,"Jan 20, 2022"
