,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc269162b49f160799a6f,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Good Looking Car,Good looking car at an affordable price. It's very comfortable and most of all Indian brand.,siddiqur rahman ,5.0,"Aug 08, 2022"
1,631cc26b162b49f160799a70,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Complete Tough Roader,"Tiago NRG is a complete package of safety, looks and features in the segment. It's a value for money car. Will have a different impression and it doesn't just stand out but makes a bold style statement.",user,4.5,"Mar 07, 2022"
2,631cc26b162b49f160799a71,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Chassis Problem,"Tiago NRG is a budget-friendly car with a good ground clearance but when going off-road, the main problem is the chassis which does not last long and needs to service again and again. Otherwise, it is a nice car. ",avetho nyus,3.5,"Feb 04, 2022"
3,631cc26b162b49f160799a72,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Best Car In Terms Of Hatchbacks,"I have recently bought a Tata Tiago NRG Petrol Automatic. I was so impressed by the performance, and I was most impressed by the huge ground clearance of 181 MM. When I went to Tata's Dealership they said that the car will give 22kmpl mileage while driving on highways and 18.5 in the city, but I am getting 14kmpl in the city and 21km...",anand deshpande,3.5,"Dec 09, 2021"
4,631cc26c162b49f160799a73,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Tiago Is A Super Car,"Tata Tiago is one of the best cars in its segments with power, music options, safety, mileage and so more features available in this car.",manoj,4.5,"Oct 19, 2021"
5,631cc26c162b49f160799a74,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Best Car In Price Range Under 6 Lakh,"The awesome car got 17kmpl mileage, and I am using it since 2019. It's a very good car in its price range, if you are buying a Tiago then go for NRG",aswanth ss,5.0,"Sep 29, 2021"
6,631cc26c162b49f160799a75,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Great Car Under 7 Lakhs With Loaded Features,"Best car under 7lakhs with loaded features. I wanted a good ground clearance car under my budget, and I exactly feel safe with this car. Driver seating comfort is very good. The only thing I won't like is its halogen lighting.",a praveen kumar,4.5,"Sep 23, 2021"
7,631cc26d162b49f160799a76,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Superb Quality For Family Package,"Perfect in performance, best in the service, comfortable for the journey, reliable in fuel consumption, Superb quality for family package",xavier ,5.0,"Sep 12, 2021"
8,631cc26d162b49f160799a77,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Best Value For Money Car Under 7 Lakh,"This is the value for money cars. Best in safety and comfortable seats and awesome infotainment system. I really like this car design there is only cons i.e., automatic ac rest it's the best car under 7 lakh",anany singh,4.5,"Aug 12, 2021"
9,631cc26d162b49f160799a78,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,This Is Best In Its,"This is best in its segment. Good job TATA safety, looks, and performance at this cost are excellent.",geetha shankar,4.5,"Aug 08, 2021"
10,631cc26d162b49f160799a79,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Not Worthy For The Price.,"Not worthy for the price. Go for original Tiago. If not try other companies. Do not bother much about the extra 11mm ground clearance. I don't want to suggest other company models as I think it may look like I like those brands better than Tata. But honestly, I feel this one is costlier.",rajesh,2.5,"Aug 06, 2021"
11,631cc26e162b49f160799a7a,Tata Tiago NRG ,4.3/5,Rs.6.42 - 7.38 Lakh,Good Car Safety,"Nice family car with safety first. Overall car is good space and good ground clearance and good built quality this car, music system one of the best in all car segment one of the premium cars in power",sachin shinde,4.5,"Aug 05, 2021"
