,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc199162b49f1607999d7,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Nice Car,"I have been using my Tiago since 2018 and this was the first car I bought. Apart from all the sentimental attachments, it's a really good car. It makes you feel safe, confident on highways, and agile in the city. The Harman music system is outstanding. In the price range I bought my Tiago at, money really cannot buy better than this. And the brand ...",satyaki sanyal,4.5,"Sep 06, 2022"
1,631cc19c162b49f1607999d8,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,A Very Good Car,A very good car which has a world-class safety experience and it makes people comfortable when off-road driving. The drive into the city is also very comfortable. ,user,4.5,"Sep 05, 2022"
2,631cc19c162b49f1607999d9,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Good Experience But Need To Improve A Lot,Overall good experience  Pros:- 1 Good build quality  2 Good Music System  3 Good driving seat front vision and comfort  4 Good mileage on the highway but some  Cons:- 1 First day AC stopped working which fixed after 6-8 service centre visit  2 Poor quality control and hard plastic which will break down  3 Roof bu...,vikas,4.5,"Sep 04, 2022"
3,631cc19c162b49f1607999da,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,The Budget Premium Car Is Here,"Honestly Speaking! In the Indian market, there is no competition to this Tata Tiago impressive performance Car. The safety plus comfort is only available in Tarta. The car is built in a way to Compete with the daily challenges that we face on the Indian Roads. The Interior is classy plus the features are quite impressive. If your budget is around 4...",atharv singh,4.5,"Aug 27, 2022"
4,631cc19c162b49f1607999db,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Value For Money,"It is a nice value for money and the safest car in the segment. The mileage is also good, and the interior design is not top but good.",prasenjit thongam,4.5,"Aug 25, 2022"
5,631cc19d162b49f1607999dc,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Comfortable Car,"It's a good car for everything according to maintenance, comfort, and stylish look. I suggest it, especially for the middle class.",venktesh ,5.0,"Aug 22, 2022"
6,631cc19d162b49f1607999dd,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Tata Tiago-iCNG A Perfect Car With Safety,"I am a big fan of a Tata Tiago since its first 3-cylinder diesel model with around 27-28kmpl mileage. But later on, they discontinued the diesel model, and now with the continued petrol model and today, I am very much impressed, because of the i-CNG model again. Fog lamps, a one-touch CNG start /stop button and a Harman music system ...",dnyaneshwar kale,4.5,"Jul 29, 2022"
7,631cc19d162b49f1607999de,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Perfect For A Family,"Good car, worth buying it. Safety, mileage, style, and comfortable in driving it. Perfect for a family of 4-5 people.",prashant ,5.0,"Jul 20, 2022"
8,631cc19d162b49f1607999df,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Tata Tiago Good Looking Car,It's a nice and good-looking car. Except for gear nob vibration. Suitable for small families and short-distance travels.,mauliga manju,4.5,"Jul 11, 2022"
9,631cc19e162b49f1607999e0,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Tata Tiago One Of The Best Hatchbacks In Mid Range,This is one of the best hatchbacks in mid-range. Looks are average because the competitors of these cars have more good looks than this but in safety it was awesome.,austin bot,4.0,"Jul 10, 2022"
10,631cc19e162b49f1607999e1,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Engine Not Refined,The Tata Tiago engine is not refined as compared to other cars in this segment. Its comfort and safety features are good.,vijay saroj,3.5,"Jul 09, 2022"
11,631cc19e162b49f1607999e2,Tata Tiago ,4.4/5,Rs.5.40 - 7.82 Lakh,Tata Tiago,"I love all Tata cars and Tata Tiago is one of them, very smooth to drive, has good mileage, has a low maintenance cost, is very spacious and is highly comfortable.",ashwani sharma,5.0,"Jul 08, 2022"
