,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc2c5162b49f160799a8f,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Enough Performance,The car has adequate enough performance for everyday use in and out of the city. Sport mode brings the best out of Tigor EV. The only concern is AC performance is not that great as a good range which is around 180 to 220km which restricts the usage of cars within city limits.,umang patil,4.5,"Aug 30, 2022"
1,631cc2c7162b49f160799a90,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Daily City Commuter,"The Tigor EV can easily be a daily city commuter, but on the highways, it lacks the performance to range. Coming to comfort, it is stiffer to transport the shocks inside on very bad roads. However, the steering over a corner feels confident as CG was spot on. Better than other gasoline variants. Brakes do well in all conditions. On speaking about t...",irai,4.5,"Jul 14, 2022"
2,631cc2c7162b49f160799a91,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Comfort Level Amazing,Tata Tiago is one of the best EVs considering in its price range. The comfort level is actually amazing. The best part about it is the colour of it is so attractive.,hardik dagha,5.0,"May 15, 2022"
3,631cc2c8162b49f160799a92,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Smooth Driving,Smooth driving experience with low running cost & high safety rating. Built quality is impressive. After driving this car for 2 months I don't want to drive any IC engine car.,maha vir,5.0,"May 02, 2022"
4,631cc2c8162b49f160799a93,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Everything Is Good,"Everything is awesome in this car, mileage and maintenance cost are good. It was good experience for me and overall it's a great car. ",jagmohan sharma ,5.0,"May 01, 2022"
5,631cc2c8162b49f160799a94,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Good Looking Car,It is a very comfortable and safest car for long travel. It's good looking also.,nihal nishan,5.0,"Apr 29, 2022"
6,631cc2c8162b49f160799a95,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Lovely EV,"The best electric vehicle to buy on a low budget which needs low maintenance, and is very powerful, it has amazing performance.",swastik ,4.5,"Apr 26, 2022"
7,631cc2c9162b49f160799a96,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Best Car,"The mileage of Tata Tigor is very good and also comfortable boot space, it is a very good car for every 5 people such average is not in any electric car. There is no better car in strength than a Tata car. I love this car.",abhishek pratap singh,5.0,"Apr 25, 2022"
8,631cc2c9162b49f160799a97,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Best Car,"Tigor Petrol price is 7 lakhs on the road whereas EV price is 13 lakhs on road. It means you are paying 6 lakhs more in advance ( Add interest cost on the additional amount if financed through the bank) that way you are not saving on fuel costs. Secondly, the range will go on to decrease over the years as the battery life will reduce. Secondly, inc...",jerry pinto,3.5,"Apr 24, 2022"
9,631cc2c9162b49f160799a98,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Best Electric Car In 2022,"The best electric car I have ever seen, it's better than MG because it's half the price and the same mileage, but lacks some features.",user,5.0,"Apr 22, 2022"
10,631cc2c9162b49f160799a99,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,An Amazing Car,"It provides so many features, power steering, airbags, fog lights, anti-lock braking system. Worth purchasing the car.",aditya kuttikar,4.5,"Apr 15, 2022"
11,631cc2ca162b49f160799a9a,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,My First EV,"Just drove 500 km with the new Tigor EV, I would say the performance is just perfect for urban driving.",bikram saha,4.5,"Dec 22, 2021"
12,631cc2ca162b49f160799a9b,Tata Tigor EV ,4.5/5,Rs.12.49 - 13.64 Lakh,Tata Tigor EV It's Amazing,"This is my first Tata car, and it's Tigor dual-tone EV. It's amazing to drive. Cheaper for another car to purchase. Go for it, and give something to the nation. Enjoying.👍",singh,4.5,"Dec 05, 2021"
