,_id,Car_Name,OverAll_Rating,Price,Rating_Title,Reviews_Description,Review_Author,User_Rating,Review_Date
0,631cc1df162b49f160799a23,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Great Mileage Car,Best ever mileage car. Great car. Robust built quality. Absolutely safe. Delivers amazing mileage of 23+ kmpl in petrol on long drives when driven in safe speed limits between 70 to 90 km/hour. ,narayan parab,4.5,"Sep 09, 2022"
1,631cc1e2162b49f160799a24,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Underrated Car Value For Money,"Overall Good package Value for money But very much underrated cars even the tata showrooms themselves try to sell Altroz or Nexon rather than Tigor. Average is also decent about 18-19kmpl (AMT version). The top model is also cheaper compared to Dzire top model . Ride is pretty much soft, and the engine feels underpower sometimes when overtaking. Th...",hrishikesh ,4.0,"Jul 31, 2022"
2,631cc1e2162b49f160799a25,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Excellent Performance,"Good car for the family, feel safe and comfortable during driving. It gives a great performance on the highways and as well as cities also good. This car design is beautiful, and its features are also good in this segment. Overall, this is a good car for family purposes. Tata cars are the best and most low-maintenance cars. It is the best sedan. Va...",san bhos,5.0,"Jul 13, 2022"
3,631cc1e2162b49f160799a26,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Car Mileage Not Good,I purchased Tata Tigor XZ Plus in November 2021. Everything is fine except mileage which is approx 14 while maximum driving is on highways.,nitin rai,3.5,"Jun 11, 2022"
4,631cc1e2162b49f160799a27,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Good Car For The Family,"This car design is beautiful, and its features are also good in this segment. It gives a great performance on the highways and as well as cities also good. Overall, this is a good car for family purposes.",dineshbhai savaliya,4.5,"Jun 01, 2022"
5,631cc1e3162b49f160799a28,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Amazing Car,"This car is very good in safety and comfort. Very convenient and the service cost is minimal. I love the Tata cars because the safety of their cars is top-notch, one more recently added pocket-friendly feature is CNG which is so good for daily drive. ",jatt chaudhary ,4.5,"May 16, 2022"
6,631cc1e3162b49f160799a29,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Good For Road,It is a good car with safety. It's a nice driving and comfortable car for an enjoyable drive in the city as well as the village.,dileep malap ,4.0,"May 01, 2022"
7,631cc1e3162b49f160799a2a,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Awesome Performance And Safety,"It is an amazing sedan at this price. Its durability, design, safety, and performance are unmatched. I highly recommended this car for a family of 4-5 people.",pyg pyg,4.0,"Apr 30, 2022"
8,631cc1e3162b49f160799a2b,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Best In Segment,Using it since 2019. Not even found a single demerit of this car. The car gives drivers a luxury touch and provides good mileage and comfort at this price. ,karan munjal,4.5,"Apr 23, 2022"
9,631cc1e4162b49f160799a2c,Tata Tigor ,4.3/5,Rs.6.00 - 8.59 Lakh,Good Car,"Very nice car in this segment of price, Good in performance and safety Overall an amazing car, Must buy.",arun sharma,4.5,"Apr 22, 2022"
